rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl
1382.1401,8417,992,429.76,8355840,68,0.865236222743988,0.26086181640625,0.0003,670,0.2,0.009862147271633148,-0.007558879123189399,0.14465987820081258,-3.52714133999,0.02680062
1375.135,8544,992,416.6,8478720,69,0.8442331254482269,0.2601416015625,0.0003,680,0.2,0.06576433032751083,-0.007048555687130526,0.15637499518255937,-3.513929200048248,0.026835628
1429.4087,8670,991,438.58,8601600,70,0.864843875169754,0.26411783854166665,0.0003,690,0.2,0.03368769958615303,-0.007379967720177471,0.13342016645018398,-3.5054549533873796,0.026877372
1398.7599,8797,991,437.24,8724480,71,0.8156015574932098,0.26890625,0.0003,700,0.2,0.03589944913983345,-0.0071104564344689905,0.14538347775213575,-3.4829857707644503,0.028082749
1393.3278,8924,991,427.3,8847360,72,0.8074245154857635,0.2596435546875,0.0003,710,0.2,0.02918388694524765,-0.006826956401406885,0.14079357312565358,-3.479154712818563,0.026118284
1451.3414,9050,991,440.52,8970240,73,0.813238263130188,0.2615022786458333,0.0003,720,0.2,0.02628432959318161,-0.007642082386919356,0.12813492612205057,-3.4883226521189012,0.02671996
1456.5955,9176,990,444.02,9093120,74,0.8207682818174362,0.25865071614583335,0.0003,730,0.2,0.0182148776948452,-0.007425118260610665,0.1363603115279208,-3.4965776218101383,0.026697822
1399.6757,9330,987,425.4,9216000,75,0.7893291264772415,0.2627840169270833,0.0003,740,0.2,-0.0021955426782369614,-0.008151660619308434,0.12107397410543247,-3.51845321200788,0.027216766
1458.9634,9456,987,438.8,9338880,76,0.7924390584230423,0.2601627604166667,0.0003,750,0.2,-0.005343038588762283,-0.0069334062980487944,0.14080730219022372,-3.5072929485390585,0.026368432
1404.2751,9579,987,426.42,9461760,77,0.8050903677940369,0.25618570963541665,0.0003,760,0.2,0.03175853192806244,-0.006884298743837765,0.1300359690981956,-3.4954122424125673,0.025850166
1461.6963,9706,987,437.5,9584640,78,0.8463558107614517,0.25876057942708336,0.0003,770,0.2,0.024649199098348618,-0.006918213100313248,0.15227750051543504,-3.504638513935109,0.026410082
1388.0884,9832,987,415.64,9707520,79,0.8038379997014999,0.25207926432291666,0.0003,780,0.2,0.08890502154827118,-0.006461495261290414,0.13814624377555446,-3.4977832042550046,0.025715698
1464.187,9956,987,432.82,9830400,80,0.8530675917863846,0.26087890625,0.0003,790,0.2,0.02744414284825325,-0.007263882722788064,0.13724206646477494,-3.4741121132175126,0.027026355
1435.1812,10083,987,429.94,9953280,81,0.8469384610652924,0.25867024739583333,0.0003,800,0.2,0.05577453598380089,-0.0074678227457176645,0.1319800894765649,-3.4652690824121235,0.02649903
1410.1243,10209,986,424.48,10076160,82,0.8378275036811829,0.262216796875,0.0003,810,0.2,0.05745454877614975,-0.007572644055744604,0.14607477222656598,-3.456767241358757,0.026666718
1364.5916,10337,986,409.3,10199040,83,0.8262034207582474,0.2628279622395833,0.0003,820,0.2,0.016485024243593216,-0.007038300134336168,0.14747012419102248,-3.4242779231692353,0.027486768
1426.5569,10461,986,424.18,10321920,84,0.8516281247138977,0.2587589518229167,0.0003,830,0.2,0.026979956775903702,-0.007159869849256211,0.12880533587561027,-3.432267652886609,0.026789986
1392.9777,10588,986,413.56,10444800,85,0.8446177989244461,0.2626619466145833,0.0003,840,0.2,0.04523338004946709,-0.007583833849312213,0.12412091722382078,-3.4089619203656913,0.02783651
1437.7223,10712,986,429.12,10567680,86,0.846747025847435,0.2618310546875,0.0003,850,0.2,0.031032750383019447,-0.00702255179462251,0.14689167240217404,-3.408325943139692,0.026979951
1388.7378,10838,986,413.58,10690560,87,0.8108161687850952,0.25734619140625,0.0003,860,0.2,0.03366484493017197,-0.006910419398300291,0.11933268397910676,-3.397779151437183,0.026460212
1435.1366,10966,986,428.44,10813440,88,0.8665095120668411,0.2565966796875,0.0003,870,0.2,0.01657169498503208,-0.007203104967811669,0.1293604935579545,-3.402964724637568,0.02703651
1451.0854,11089,986,428.18,10936320,89,0.8554920554161072,0.25793050130208334,0.0003,880,0.2,0.001371081918478012,-0.006950439674310474,0.12411480160653203,-3.3841252566253144,0.026123771
1469.7544,11213,986,433.18,11059200,90,0.8507704436779022,0.2624853515625,0.0003,890,0.2,0.01421327143907547,-0.007345602595020561,0.13464298900100402,-3.3943653207520645,0.02786397
1449.3444,11347,985,430.12,11182080,91,0.8406335115432739,0.26111083984375,0.0003,900,0.2,0.026640743017196655,-0.006906393702247442,0.17094799450045683,-3.3678883485123516,0.027335424
1387.8916,11472,985,414.6,11304960,92,0.8456358462572098,0.2636490885416667,0.0003,910,0.2,0.054512832313776016,-0.007640719486492647,0.1426792619204692,-3.376594801818331,0.027183251
1417.6255,11598,985,417.2,11427840,93,0.8295086026191711,0.2628125,0.0003,920,0.2,0.16920331120491028,-0.006824651322100787,0.1505193276957531,-3.3404059432819486,0.027252184
1457.6592,11724,985,433.1,11550720,94,0.8466876894235611,0.2621354166666667,0.0003,930,0.2,0.07937600463628769,-0.006537679376833694,0.1497934896221462,-3.3393830087656777,0.027222844
1455.8717,11850,985,426.18,11673600,95,0.7763164043426514,0.26517415364583335,0.0003,940,0.2,-0.0003795679658651352,-0.007312193600828323,0.15306416405102938,-3.3426485958571237,0.027857464
1461.1747,11977,984,435.3,11796480,96,0.8356045484542847,0.2636637369791667,0.0003,950,0.2,0.019850654527544975,-0.007603882527067374,0.12656484632209564,-3.3614649764696756,0.028367793
1428.4307,12100,985,420.92,11919360,97,0.8127694576978683,0.2608870442708333,0.0003,960,0.2,0.04443135857582092,-0.0069226162687543065,0.1302144455415934,-3.356846664460997,0.027669813
1426.9526,12227,984,421.98,12042240,98,0.8158416450023651,0.2587003580729167,0.0003,970,0.2,0.08243489265441895,-0.006963443968315914,0.13092493973546274,-3.3541403984526794,0.027367124
1436.6697,12352,984,427.8,12165120,99,0.8276171982288361,0.26058349609375,0.0003,980,0.2,0.20879322290420532,-0.0073580365575253385,0.14263922137353802,-3.340456503815949,0.027254855
1469.5562,12477,984,431.04,12288000,100,0.8155763149261475,0.25972330729166665,0.0003,990,0.2,0.446758508682251,-0.006981712775116952,0.12731344741546005,-3.337447785809636,0.02692053
1436.7394,12604,984,424.46,12410880,101,0.8603699207305908,0.25825113932291666,0.0003,1000,0.2,0.027766771614551544,-0.0071037497686635715,0.12528431436240983,-3.3266618982578318,0.026824303
1462.798,12742,983,434.44,12533760,102,0.853701189160347,0.26127034505208335,0.0003,1010,0.2,-0.014131611213088036,-0.006426061783762028,0.13846195972776817,-3.297639874406159,0.027302584
1503.0464,12869,983,437.78,12656640,103,0.8043693900108337,0.2631201171875,0.0003,1020,0.2,0.05411145091056824,-0.006589712348589577,0.14507388617494144,-3.2973036026085416,0.028545046
1467.2601,12996,983,433.84,12779520,104,0.810772642493248,0.25835611979166667,0.0003,1030,0.2,0.08928609639406204,-0.006447099054251643,0.12725115172021711,-3.2885685071970028,0.02724367
1441.4581,13123,983,422.42,12902400,105,0.8433123081922531,0.2601416015625,0.0003,1040,0.2,-0.007951714098453522,-0.006464819289837275,0.11864881065121154,-3.2898994046946366,0.026930686
1402.9279,13247,983,415.54,13025280,106,0.8624401241540909,0.2644954427083333,0.0003,1050,0.2,0.02387470193207264,-0.0070912277713311295,0.11649400348105701,-3.27018347017467,0.027972681
