rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss
1589.3853,117,426.06666666666666,14901,964,14376960,0.28138346354166666,0.011923613026738167,-0.00496120969872815,0.0337589,0.08175085959451583,1160,0.8520529866218567,0.2,0.0003,-2.651463334672153
1544.2361,118,416.46666666666664,15025,964,14499840,0.27973063151041666,0.0331905335187912,-0.004978587183674487,0.033336353,0.06227863171926098,1170,0.8467035740613937,0.2,0.0003,-2.6801135161146523
1407.8356,119,377.06666666666666,15150,965,14622720,0.28394449869791666,0.06244763731956482,-0.0051609131185189954,0.034253415,0.07956269629610081,1180,0.7921236604452133,0.2,0.0003,-2.6182079921290278
1459.7153,120,386.4,15277,965,14745600,0.28140055338541664,0.08269330859184265,-0.004620719459223134,0.03402592,0.06711293159241905,1190,0.8210982978343964,0.2,0.0003,-2.6269389468058946
1590.0876,121,424.93333333333334,15403,965,14868480,0.2842659505208333,0.04248471185564995,-0.005160284676646067,0.035281435,0.0726087535720338,1200,0.8362147957086563,0.2,0.0003,-2.596034513215224
1078.16,122,285.4,15528,965,14991360,0.2865804036458333,0.02953523024916649,-0.004583968371280207,0.033935245,0.07574295724839128,1210,0.7949452996253967,0.2,0.0003,-2.61928193098555
1244.6049,123,330.46666666666664,15653,965,15114240,0.28539306640625,0.023090574890375137,-0.004486079491804655,0.03426504,0.09030958723921989,1220,0.7839133739471436,0.2,0.0003,-2.5839366903031866
1568.4802,124,417.6,15777,965,15237120,0.27539794921875,0.054132942110300064,-0.004756968578400726,0.032455277,0.06129443481045504,1230,0.8530222475528717,0.2,0.0003,-2.557809666879475
1430.3276,125,381.2,15904,965,15360000,0.27894775390625,0.03397826477885246,-0.005175435756227671,0.03419136,0.06858999932039296,1240,0.8136782348155975,0.2,0.0003,-2.577912519847353
1473.277,126,393.8,16030,965,15482880,0.2871044921875,-0.002701244316995144,-0.004501799290180012,0.034869727,0.07662459204962943,1250,0.8201296776533127,0.2,0.0003,-2.5484927339106798
1496.5614,127,392.26666666666665,16155,965,15605760,0.283662109375,0.010385502129793167,-0.003959899131377825,0.03481287,0.0839876771744457,1260,0.7917230278253555,0.2,0.0003,-2.53503667841355
1434.1183,128,382.4,16281,966,15728640,0.2810970052083333,0.022640394046902657,-0.004291440804123947,0.034630075,0.08928680625171789,1270,0.8133992254734039,0.2,0.0003,-2.52661715661486
1581.8812,129,421.4,16406,966,15851520,0.27978922526041666,0.027956411242485046,-0.004246626291272454,0.033903044,0.0761685408425304,1280,0.8092989027500153,0.2,0.0003,-2.5159582705795764
1555.4735,130,415.06666666666666,16532,966,15974400,0.2834228515625,0.07658001780509949,-0.005707150645848742,0.034236394,0.06432434607534863,1290,0.8219399452209473,0.2,0.0003,-2.5216562821840247
1402.1284,131,370.1333333333333,16659,966,16097280,0.2768961588541667,0.0530703105032444,-0.004722798634447827,0.034081776,0.06778535149564656,1300,0.8183956891298294,0.2,0.0003,-2.4964439714327455
1451.4412,132,384.06666666666666,16787,966,16220160,0.27802490234375,0.04260941222310066,-0.004622515171310321,0.033511337,0.06513106240701745,1310,0.8013926893472672,0.2,0.0003,-2.5154597458740073
1517.9244,133,394.4,16913,966,16343040,0.2794287109375,0.08581751585006714,-0.004533127703750021,0.034373745,0.06982226989338718,1320,0.8492670804262161,0.2,0.0003,-2.483485324308276
1562.5414,134,406.3333333333333,17040,966,16465920,0.27990152994791667,-0.0034126322716474533,-0.005253290832039663,0.03434696,0.06391652519441171,1330,0.8463515639305115,0.2,0.0003,-2.5077126805732646
1306.9343,135,340.93333333333334,17168,966,16588800,0.2755305989583333,0.030509281903505325,-0.004409954751754413,0.033787403,0.06903690182419571,1340,0.8246535062789917,0.2,0.0003,-2.470179222629716
1316.9198,136,339.8,17295,966,16711680,0.2844954427083333,-0.005132956430315971,-0.005070403001585267,0.03539455,0.07845288965305372,1350,0.7929346710443497,0.2,0.0003,-2.482113246768713
1547.7584,137,408.2,17422,966,16834560,0.27827880859375,0.05563974753022194,-0.004503044856713435,0.036185917,0.07255023652260813,1360,0.8353540301322937,0.2,0.0003,-2.4686644725129008
1303.4363,138,348.8,17548,966,16957440,0.27958333333333335,0.0008727544918656349,-0.004683761174334601,0.0349655,0.06894394016126171,1370,0.8050510287284851,0.2,0.0003,-2.490919165511926
1294.1011,139,337.6666666666667,17673,966,17080320,0.2781005859375,0.04322182759642601,-0.004826247386719539,0.03442843,0.07056879198969303,1380,0.8129409700632095,0.2,0.0003,-2.4819616537603237
