time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
6319,5775360,47,449.12,1096.0289,913,0.7707627266645432,0.08000923189225433,0.06777608394622803,0.12069010416666667,-0.0007279941781659242,3720,0.022012113,0.0003,-2.1895866917322078,0.2
6451,5898240,48,450.0,1092.623,914,0.7342434227466583,0.08214698954031822,0.01567809097468853,0.12446451822916667,-0.0017244993283869311,3730,0.020508384,0.0003,-2.2349677908110124,0.2
6584,6021120,49,450.0,1081.1887,914,0.809822291135788,0.07871490831142486,0.05187905952334404,0.11361490885416667,-0.0012091599257958781,3740,0.018592976,0.0003,-2.245124528637777,0.2
6719,6144000,50,450.0,1156.777,914,0.8349502384662628,0.07667917794392755,0.008398063480854034,0.11426595052083334,-0.001116801239995766,3750,0.01909631,0.0003,-2.199430981632322,0.2
6854,6266880,51,450.0,1105.6393,914,0.8104964047670364,0.06921524774081869,0.03648574650287628,0.12220540364583334,-0.001624981654495059,3760,0.01815002,0.0003,-2.2358136200283965,0.2
6988,6389760,52,450.0,1097.0759,914,0.7972882390022278,0.07559740257995146,0.023125169798731804,0.11597249348958333,-0.0010328149764730673,3770,0.027096653,0.0003,-2.1883531565902135,0.2
7129,6512640,53,450.0,1103.733,913,0.7575238794088364,0.08243886111362371,0.026965180411934853,0.11035481770833333,0.000107694632467125,3780,0.016619688,0.0003,-2.2026160229121645,0.2
7264,6635520,54,450.0,1114.7184,913,0.7215990424156189,0.09811211592770026,0.04186524450778961,0.11806070963541666,-0.0006284705505640886,3790,0.018662818,0.0003,-2.2427397659545143,0.2
7400,6758400,55,450.0,1101.4858,913,0.7660623043775558,0.08964842957674894,0.023442625999450684,0.11849853515625,-0.0007039178550076031,3800,0.019343901,0.0003,-2.1183306644360225,0.2
7533,6881280,56,450.0,1062.4784,913,0.735206127166748,0.0956731239529472,0.03883348032832146,0.11881184895833333,-0.0010437893058466822,3810,0.018283267,0.0003,-2.1918556949682535,0.2
7668,7004160,57,450.0,1130.5322,913,0.7698552012443542,0.08776400196482427,0.07913172245025635,0.11169026692708334,-0.001261117881631435,3820,0.018791791,0.0003,-2.2057832087824742,0.2
7802,7127040,58,450.0,1117.7505,913,0.7853171974420547,0.08967205331575921,0.05704975873231888,0.11371419270833333,-0.0012473344137106323,3830,0.02049455,0.0003,-2.208143707414468,0.2
7935,7249920,59,450.0,1085.0326,913,0.7089280486106873,0.09813785819620534,0.03586588799953461,0.10982177734375,-0.0006485110024702105,3840,0.019255167,0.0003,-2.2054105174914,0.2
8068,7372800,60,450.0,1133.792,913,0.7007992565631866,0.10557025718944109,0.04782245308160782,0.13002522786458334,-0.0012591127730350613,3850,0.025511952,0.0003,-2.1948209294738867,0.2
8218,7495680,61,450.0,1115.7946,912,0.7190729081630707,0.10820261971932875,0.109046071767807,0.11002766927083334,-0.0005665030307985337,3860,0.017470267,0.0003,-2.1993465379066763,0.2
8353,7618560,62,450.0,1198.5402,912,0.7830344140529633,0.08423286218572078,-0.020408187061548233,0.10871907552083333,-0.0009197390833651297,3870,0.019074293,0.0003,-2.2400359962073466,0.2
