rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
1409.5339,8703,8232960,67,945,408.4,-0.006543816823171559,0.027967894,660,0.2,0.7457180917263031,0.051047470420598984,0.12835764679456285,0.0003,-3.43523432576408,0.27382242838541665
1432.631,8833,8355840,68,945,419.78,-0.007083056660788619,0.028285405,670,0.2,0.7867627143859863,0.04913286119699478,0.11888093488349114,0.0003,-3.419634739284714,0.27581461588541667
1515.3627,8961,8478720,69,946,437.24,-0.007108877041058198,0.028262237,680,0.2,0.8084669411182404,0.022876491770148277,0.11211197457722544,0.0003,-3.399054508768022,0.2746728515625
1492.3289,9091,8601600,70,946,429.6,-0.007636535348847246,0.0277482,690,0.2,0.7573078572750092,0.08083531260490417,0.10936383952813533,0.0003,-3.385029509315888,0.27329671223958335
1536.0225,9219,8724480,71,946,435.76,-0.007014189967552132,0.028322048,700,0.2,0.7786196768283844,0.04798217490315437,0.12011583128725761,0.0003,-3.3987457393854856,0.27642578125
1467.1829,9349,8847360,72,946,422.3,-0.0069839022880993674,0.028164394,710,0.2,0.7727226465940475,0.07182024419307709,0.12820359961284947,0.0003,-3.3586674735198416,0.27537679036458335
1514.5084,9477,8970240,73,946,435.28,-0.007030980555003528,0.02808695,720,0.2,0.7961167842149734,-0.022709807381033897,0.1097092514912462,0.0003,-3.3492829712231953,0.27575927734375
1437.2852,9606,9093120,74,946,409.14,-0.0065148215858971525,0.027678061,730,0.2,0.7668418288230896,-0.014928929507732391,0.11606958993079995,0.0003,-3.3419288576270145,0.26978271484375
1469.7156,9735,9216000,75,946,415.44,-0.007334743039185317,0.027687175,740,0.2,0.8309646248817444,0.0841863751411438,0.11374067796040133,0.0003,-3.33004666424046,0.2699658203125
1379.605,9864,9338880,76,946,395.2,-0.006784925208921777,0.028318819,750,0.2,0.816192165017128,0.006357979029417038,0.11258141561896386,0.0003,-3.319396141593655,0.27556884765625
1441.5685,9995,9461760,77,946,410.26,-0.007210952230816474,0.028303452,760,0.2,0.8490761369466782,0.004303745925426483,0.10294946282248323,0.0003,-3.307697692215443,0.27511962890625
1469.5084,10122,9584640,78,946,415.56,-0.007064546057578506,0.028395308,770,0.2,0.8074170649051666,0.024228524416685104,0.11499818345318392,0.0003,-3.295876732033988,0.27507405598958334
1484.4965,10250,9707520,79,947,423.58,-0.00740603846400821,0.028891016,780,0.2,0.7773767411708832,-0.03088369593024254,0.12235294698436822,0.0003,-3.30214272548755,0.2768025716145833
1439.1663,10381,9830400,80,946,412.16,-0.00732412624740391,0.029543297,790,0.2,0.728297233581543,0.030392780900001526,0.1159748037737154,0.0003,-3.2861540692423783,0.27728434244791667
1470.0116,10539,9953280,81,944,420.7,-0.00678233277611677,0.028949516,800,0.2,0.7631214410066605,0.03659670427441597,0.12443979351441764,0.0003,-3.300434257723391,0.27438557942708336
1413.5682,10697,10076160,82,941,399.92,-0.00687814765746225,0.029212464,810,0.2,0.745325893163681,0.020431037992239,0.13320444684048804,0.0003,-3.285918582081795,0.2751318359375
1500.1641,10827,10199040,83,941,428.52,-0.007115230395056642,0.029352982,820,0.2,0.7894674092531204,0.01167173683643341,0.14522734218034505,0.0003,-3.267538999070724,0.28155436197916667
