rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/loss
1472.6134,10321920,969,441.54,10652,84,0.10818472955860974,-0.006996456252254575,0.0003,0.8649905025959015,0.26165120442708334,0.2,-3.448399187599619,830,0.027685404,0.03337392210960388
1407.5409,10444800,969,426.5,10778,85,0.10827839934325312,-0.006914915222878335,0.0003,0.85088150203228,0.2657242838541667,0.2,-3.439907099492848,840,0.027628524,0.03263475373387337
1473.8892,10567680,969,445.6,10904,86,0.10772181893179852,-0.0072552444760791935,0.0003,0.8856277540326118,0.26846761067708336,0.2,-3.4174599949394664,850,0.028639473,0.016526734456419945
1450.4292,10690560,969,439.0,11031,87,0.09345944117536419,-0.006893564794560613,0.0003,0.8414855003356934,0.2624104817708333,0.2,-3.4187546430652342,860,0.027360793,0.046010129153728485
1378.9775,10813440,969,417.1,11159,88,0.12297546345929732,-0.006565428039624142,0.0003,0.820313960313797,0.26812174479166667,0.2,-3.425455352390806,870,0.02884801,0.08411279320716858
1426.6366,10936320,968,428.86,11287,89,0.09956083779286322,-0.006986001184905035,0.0003,0.832302138209343,0.26417643229166665,0.2,-3.428975360182424,880,0.027953632,0.007466450333595276
1341.3019,11059200,968,397.02,11415,90,0.11609372182555186,-0.007230470288147141,0.0003,0.8499830067157745,0.26694173177083336,0.2,-3.409030359238386,890,0.02863363,0.024520814418792725
1409.8494,11182080,968,420.76,11541,91,0.09622465795167955,-0.0069417041072301795,0.0003,0.8797400742769241,0.26244791666666667,0.2,-3.419008729023238,900,0.027908865,0.00012359768152236938
1353.4117,11304960,968,409.34,11673,92,0.10951055639088736,-0.007180304552421148,0.0003,0.8791666179895401,0.26587809244791666,0.2,-3.4086184169972937,910,0.028144827,0.0619516521692276
1405.6915,11427840,968,420.76,11800,93,0.119469291940671,-0.006938104513522679,0.0003,0.8531326651573181,0.26694417317708335,0.2,-3.4064706043650705,920,0.028849123,0.004553560167551041
1490.6864,11550720,968,443.42,11926,94,0.11564690652026911,-0.00677303787138347,0.0003,0.846462681889534,0.26483561197916666,0.2,-3.41610509754469,930,0.028319184,0.015329526737332344
1371.5134,11673600,968,410.76,12053,95,0.11745392163958361,-0.006885919791344956,0.0003,0.8117010146379471,0.26144775390625,0.2,-3.4274655166019996,940,0.028146008,0.033634595572948456
1475.3335,11796480,968,438.96,12181,96,0.10089579479186796,-0.007035956284892867,0.0003,0.8500242531299591,0.25865478515625,0.2,-3.4288842597727975,950,0.027155155,0.02396508678793907
1424.9918,11919360,968,421.9,12309,97,0.10113110387319466,-0.006092320971893059,0.0003,0.8523889183998108,0.25940673828125,0.2,-3.391967117389043,960,0.028252942,0.04770591855049133
1472.2297,12042240,968,435.64,12437,98,0.1245061284705783,-0.006864639613255955,0.0003,0.8602404594421387,0.27078694661458336,0.2,-3.3549863862246276,970,0.028882643,0.010948128998279572
1446.8032,12165120,968,434.92,12565,99,0.10714181567663521,-0.006676273305235251,0.0003,0.8408391028642654,0.26727213541666667,0.2,-3.3558508812511962,980,0.029543197,0.07126331329345703
1344.5314,12288000,968,401.46,12691,100,0.1064000135618456,-0.0069173623859569485,0.0003,0.862116664648056,0.26906656901041665,0.2,-3.363139712760846,990,0.029175574,-0.0019342713057994843
1401.2361,12410880,968,416.98,12819,101,0.11312862303544534,-0.00657864678670497,0.0003,0.8763920441269875,0.2655208333333333,0.2,-3.363384305400153,1000,0.02845649,-0.006683414801955223
1398.5122,12533760,968,413.56,12948,102,0.12578790805671208,-0.006364631553108969,0.0003,0.8625538349151611,0.2637858072916667,0.2,-3.3687762667859595,1010,0.02788457,0.06646759063005447
1435.9023,12656640,968,425.6,13074,103,0.1086608101304834,-0.006932891948032799,0.0003,0.8655174672603607,0.26469319661458335,0.2,-3.3627556379511954,1020,0.028224437,0.037422068417072296
1411.2423,12779520,967,418.92,13202,104,0.10016436769408756,-0.007496102294977997,0.0003,0.8637722879648209,0.26496826171875,0.2,-3.3687026755387586,1030,0.029182179,0.030679872259497643
1445.0629,12902400,967,434.04,13329,105,0.1108144914433069,-0.006905924048399659,0.0003,0.8651015758514404,0.26709635416666666,0.2,-3.3639398363977673,1040,0.029040545,0.03534380719065666
1480.1975,13025280,967,438.1,13458,106,0.10227797991761084,-0.007201598590897144,0.0003,0.8393615633249283,0.26680419921875,0.2,-3.3308911159137886,1050,0.029512245,0.020502805709838867
1441.7035,13148160,967,425.46,13587,107,0.10998537819129221,-0.007035924770213266,0.0003,0.8534827083349228,0.2652994791666667,0.2,-3.3383909261599185,1060,0.028481122,-0.0010087266564369202
1448.8772,13271040,967,428.4,13715,108,0.11113065353177566,-0.007069413134595379,0.0003,0.8368001580238342,0.2659912109375,0.2,-3.342749319113791,1070,0.029075854,0.026718102395534515
1460.3949,13393920,967,430.84,13844,109,0.11120632042434106,-0.006849129073871154,0.0003,0.8546948879957199,0.26809326171875,0.2,-3.3188739019756515,1080,0.02961782,-0.003572564572095871
1430.1539,13516800,967,429.22,13971,110,0.09146812827767765,-0.007017373365476184,0.0003,0.8924025669693947,0.264931640625,0.2,-3.32833074465394,1090,0.028281836,-0.031065719202160835
1442.6774,13639680,967,429.22,14098,111,0.10717451103589459,-0.006468309235760899,0.0003,0.8618195652961731,0.26777587890625,0.2,-3.2974438197165727,1100,0.02939963,-0.005501106381416321
1465.3058,13762560,967,437.7,14225,112,0.10352630404726369,-0.006549203418495987,0.0003,0.8683992475271225,0.26199137369791664,0.2,-3.3129934569448234,1110,0.029054323,0.012545246630907059
1435.991,13885440,967,427.9,14352,113,0.09262729911225809,-0.006690670985475057,0.0003,0.8734302967786789,0.26191650390625,0.2,-3.282245134773354,1120,0.028533062,-0.0019175661727786064
