time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance
127,943,16535,1491.2054,15605760,437.38,0.0005,-0.0025235350585353445,-3.3308919935300945,1260,0.1423344396443766,0.0032425113022327423,0.034224983,0.2,0.2600830078125,0.7990226894617081
128,943,16666,1517.0292,15728640,444.04,0.0005,-0.0028396326747194204,-3.317915839093427,1270,0.11006368505487141,0.015150763094425201,0.03391475,0.2,0.2574609375,0.8511914759874344
129,943,16795,1466.4052,15851520,429.18,0.0005,-0.0029222642629853604,-3.2963187232613564,1280,0.12148755923388914,0.11134251952171326,0.033645526,0.2,0.25779866536458335,0.8277366906404495
130,943,16925,1481.6941,15974400,443.3,0.0005,-0.0024716997270722157,-3.275710624816517,1290,0.13080512501202368,0.016851169988512993,0.034606673,0.2,0.26154215494791666,0.8339008092880249
131,943,17055,1462.7119,16097280,434.98,0.0005,-0.003018596957420717,-3.2872451070944466,1300,0.1233648091761279,0.017382588237524033,0.034086782,0.2,0.25769368489583333,0.8281992971897125
132,943,17187,1326.842,16220160,399.52,0.0005,-0.002339593962293899,-3.2675229632730285,1310,0.12611178062545755,0.08043459057807922,0.03520911,0.2,0.26379069010416667,0.8254813849925995
133,943,17317,1419.942,16343040,423.7,0.0005,-0.002718447015104175,-3.237593973999222,1320,0.15715914749278453,0.08872444927692413,0.035695314,0.2,0.2640071614583333,0.8136087954044342
134,943,17446,1401.124,16465920,415.94,0.0005,-0.0021078716527123714,-3.2253507851685086,1330,0.16021080030477605,0.0694667249917984,0.036102295,0.2,0.26761800130208335,0.8404413610696793
135,943,17576,1393.1635,16588800,412.18,0.0005,-0.002451324674038915,-3.2229314838101466,1340,0.1562615568106412,0.10074754059314728,0.037292287,0.2,0.27075113932291667,0.8415855318307877
136,943,17706,1440.3729,16711680,434.76,0.0005,-0.002487065362068582,-3.246758266737064,1350,0.1498891335268854,0.02708616480231285,0.03616428,0.2,0.26345458984375,0.8476323038339615
137,943,17837,1434.7473,16834560,418.62,0.0005,-0.0029392599957100175,-3.247538447032372,1360,0.14102033977144554,0.007006553933024406,0.03622133,0.2,0.26447184244791666,0.8351282924413681
138,943,17967,1442.2412,16957440,424.4,0.0005,-0.0026541774359551103,-3.209088064196209,1370,0.14385983838088579,0.08829718828201294,0.035990484,0.2,0.26724365234375,0.8483128249645233
139,943,18099,1428.9308,17080320,426.3,0.0005,-0.0024682867732008164,-3.207086458330353,1380,0.13292359297386913,0.007053691893815994,0.03685149,0.2,0.26701171875,0.8193033784627914
140,942,18259,1368.9158,17203200,407.38,0.0005,-0.0022968985151480105,-3.1914017851402363,1390,0.1626155929476954,0.018942000344395638,0.03650553,0.2,0.26827880859375,0.8612079918384552
141,942,18389,1465.7792,17326080,439.06,0.0005,-0.0019378408923239477,-3.1905252540484073,1400,0.1588503168974421,0.14762920141220093,0.035742562,0.2,0.26512451171875,0.840708002448082
142,942,18520,1493.8091,17448960,439.78,0.0005,-0.0022124109760382755,-3.1870498328655956,1410,0.11864415502476429,0.01752489060163498,0.03590438,0.2,0.26006184895833334,0.8565877228975296
143,942,18652,1506.4131,17571840,438.4,0.0005,-0.002573136192838016,-3.212007644586265,1420,0.13375196642805046,0.052546434104442596,0.035371535,0.2,0.2637255859375,0.8251035660505295
