time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss
961,8847360,419.5,1399.59,9202,72,0.2,0.04407422989606857,-3.4027433996026715,0.12940835527134673,0.0003,0.8669634610414505,0.027747653,710,0.27306722005208334,-0.007305517270960991
960,8970240,423.52,1419.4617,9339,73,0.2,0.02701137401163578,-3.375370312742889,0.12004404984414578,0.0003,0.8803178369998932,0.027993226,720,0.27433837890625,-0.007592589473109305
960,9093120,417.84,1409.6382,9469,74,0.2,0.03533146530389786,-3.3847615669171014,0.12637631767089866,0.0003,0.8745550811290741,0.028573135,730,0.27500732421875,-0.0075263685124082255
959,9216000,425.44,1424.3298,9600,75,0.2,0.011917263269424438,-3.386741881283621,0.11146319321511934,0.0003,0.8877621740102768,0.027518205,740,0.2672314453125,-0.0074179074226352285
959,9338880,410.76,1376.7699,9730,76,0.2,0.032522350549697876,-3.3599695062885684,0.13280785346845125,0.0003,0.880140408873558,0.027203858,750,0.26723795572916664,-0.006788225520443424
959,9461760,422.44,1419.588,9858,77,0.2,0.1619739830493927,-3.3423521243905028,0.14699792233218129,0.0003,0.8727193474769592,0.027967421,760,0.2698828125,-0.006520569313712864
959,9584640,430.12,1433.2811,9987,78,0.2,0.04634518921375275,-3.338502868625025,0.13685005836179093,0.0003,0.8598007708787918,0.028429298,770,0.27225911458333335,-0.006218071575731301
959,9707520,423.9,1407.6378,10113,79,0.2,0.07210095971822739,-3.3458413963144022,0.14297302810649853,0.0003,0.8651394098997116,0.028996611,780,0.2747013346354167,-0.007323111995592626
959,9830400,417.0,1390.6494,10242,80,0.2,-0.02181202918291092,-3.3180928827946383,0.12310208903208453,0.0003,0.8532573878765106,0.028142251,790,0.27184488932291667,-0.00658656855353911
959,9953280,419.72,1414.8131,10374,81,0.2,0.026237728074193,-3.314185389416913,0.131116694061105,0.0003,0.8545465916395187,0.028243681,800,0.27333658854166665,-0.007323195132151644
959,10076160,420.02,1417.4767,10503,82,0.2,-0.004217144101858139,-3.3261941343173387,0.15136985052891153,0.0003,0.8615502566099167,0.02864054,810,0.274658203125,-0.007407915686609764
959,10199040,428.34,1442.6863,10633,83,0.2,0.09345334023237228,-3.3331767778967816,0.1335178356426574,0.0003,0.8298806399106979,0.028470496,820,0.2728605143229167,-0.007129898406104378
