rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
450.0,693.5863,12615680,43775,288,77,-5.2695071100246194e-17,-5.6573981055407784e-11,0.8689070343971252,0.05588783323764801,0.0,0.060202827366883864,0.2,0.0003,0.0,760
450.0,698.47516,12779520,44387,287,78,-6.983149585332195e-17,6.430582288885489e-11,0.8620939552783966,0.04411394149065018,0.0,0.05800996728146856,0.2,0.0003,0.0,770
450.0,696.0814,12943360,44990,287,79,-6.475796514891432e-17,1.2069449439877645e-10,0.8821528479456902,0.005376748740673065,0.0,0.05784623532270416,0.2,0.0003,0.0,780
450.0,693.41736,13107200,45592,287,80,-7.716216134747669e-17,-1.0449127785250312e-10,0.8908071368932724,0.011368528008460999,0.0,0.053776630547927196,0.2,0.0003,0.0,790
450.0,693.91833,13271040,46196,287,81,-6.334506472285286e-17,-7.779703992127906e-11,0.8738389909267426,0.016532227396965027,0.0,0.06488471282729734,0.2,0.0003,0.0,800
450.0,690.71265,13434880,46798,287,82,-5.1346004931734446e-17,-2.1577761799562724e-11,0.8848904073238373,0.040138114243745804,0.0,0.059021170101059395,0.2,0.0003,0.0,810
450.0,694.5396,13598720,47398,286,83,-6.029051376400666e-17,6.5870153775904325e-12,0.8640381842851639,0.03134038299322128,0.0,0.07050295634056965,0.2,0.0003,0.0,820
450.0,698.9864,13762560,48002,286,84,-5.675735012747929e-17,1.0556277629802934e-10,0.8633359968662262,0.07357437163591385,0.0,0.06246346501615335,0.2,0.0003,0.0,830
450.0,692.3359,13926400,48612,286,85,-7.127215946234763e-17,-3.6518486012937504e-11,0.8740004301071167,0.014152875170111656,0.0,0.06284837843293645,0.2,0.0003,0.0,840
450.0,697.33545,14090240,49214,286,86,-3.398153179921528e-17,8.394636097364128e-12,0.8756092190742493,0.011440137401223183,0.0,0.050264686119189717,0.2,0.0003,0.0,850
450.0,698.54016,14254080,49815,286,87,-6.078025449895962e-17,1.4906618162058294e-11,0.8718299269676208,0.06765866279602051,0.0,0.06175984209090529,0.2,0.0003,0.0,860
450.0,694.4652,14417920,50420,285,88,-5.915448476616768e-17,-3.598188413889147e-12,0.8774647563695908,0.018284376710653305,0.0,0.05689601214868162,0.2,0.0003,0.0,870
450.0,688.8326,14581760,51022,285,89,-7.161691146024031e-17,2.7921487344428895e-12,0.8835016787052155,0.06000543758273125,0.0,0.06340827441328656,0.2,0.0003,0.0,880
450.0,696.7636,14745600,51623,285,90,-6.50473274547216e-17,1.7876118363346906e-11,0.8773840591311455,0.018930584192276,0.0,0.06519338622065333,0.2,0.0003,0.0,890
450.0,693.8797,14909440,52222,285,91,-1.4037082872363674e-16,-7.898734111222438e-11,0.8943141773343086,0.019963352009654045,0.0,0.051080126376382394,0.2,0.0003,0.0,900
450.0,701.6998,15073280,52823,285,92,-6.556287587051111e-17,1.9127696759824175e-10,0.8852692395448685,0.009436060674488544,0.0,0.06118593255458109,0.2,0.0003,0.0,910
450.0,696.1948,15237120,53428,285,93,-7.552954222314854e-17,-5.179344952921383e-11,0.8822352290153503,0.011905321851372719,0.0,0.0574317842412529,0.2,0.0003,0.0,920
450.0,696.9009,15400960,54033,285,94,-7.031608251162212e-17,-1.07564801510307e-11,0.8810302913188934,0.010912129655480385,0.0,0.06288628103788142,0.2,0.0003,0.0,930
