rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
450.0,1233.7479,96,902,11796480,13066,-2.564884500776728,0.012008738,0.2,7060,0.113291015625,0.0003,-0.0014191763187288112,0.11090165933099343,0.03345087915658951,0.7720406502485275
450.0,1250.8405,97,902,11919360,13203,-2.6014260933548212,0.012862948,0.2,7070,0.11792724609375,0.0003,-0.0014343055165348536,0.10006113530117243,0.027951283380389214,0.7802030891180038
444.84,1202.4938,98,902,12042240,13335,-2.5696554529170195,0.0147943515,0.2,7080,0.1283154296875,0.0003,-0.0021492042651758917,0.1110775059232401,0.0317305326461792,0.7875793278217316
450.0,1190.7683,99,902,12165120,13472,-2.5532626611863574,0.012716874,0.2,7090,0.11646484375,0.0003,-0.001540991385063535,0.10078617107901663,0.042313434183597565,0.7818237096071243
450.0,1223.81,100,903,12288000,13607,-2.620826130012671,0.013753383,0.2,7100,0.11585856119791667,0.0003,-0.0014701147509852792,0.09173191263895812,0.1060885488986969,0.8134150356054306
450.0,1274.1974,101,903,12410880,13743,-2.6274683452397585,0.011821706,0.2,7110,0.11924153645833334,0.0003,-0.0015287417668514536,0.11341154747991823,0.04228724539279938,0.768346518278122
450.0,1233.6254,102,903,12533760,13877,-2.6234849100063244,0.011090759,0.2,7120,0.1164208984375,0.0003,-0.0014922178852490712,0.10309503999109439,0.0342857651412487,0.8103700876235962
450.0,1259.1449,103,903,12656640,14014,-2.6078310637921094,0.012859142,0.2,7130,0.12281901041666667,0.0003,-0.0019573979925189633,0.09752674034384351,-0.011879580095410347,0.8608005344867706
450.0,1305.1681,104,903,12779520,14146,-2.61549514071395,0.015118462,0.2,7140,0.12586832682291665,0.0003,-0.0013523168766005256,0.10189954769247075,0.022302746772766113,0.7980420589447021
450.0,1202.6016,105,903,12902400,14282,-2.6037174207220475,0.011976387,0.2,7150,0.11837646484375,0.0003,-0.0013038619728771058,0.1118493336813117,0.02757071703672409,0.7998446077108383
450.0,1255.4854,106,903,13025280,14417,-2.568751327979068,0.013585758,0.2,7160,0.11654296875,0.0003,-0.0015434403512335848,0.09120511001288832,0.09225930273532867,0.8066166490316391
444.4,1203.6737,107,903,13148160,14553,-2.6079578988005716,0.0124924285,0.2,7170,0.12219563802083333,0.0003,-0.0015611768425211872,0.11822076363717011,0.05965793505311012,0.7913842052221298
450.0,1317.7,108,903,13271040,14690,-2.589066151380539,0.0123357875,0.2,7180,0.11793294270833334,0.0003,-0.0015998388181499951,0.1047360033349105,0.051253754645586014,0.8240247964859009
450.0,1218.5972,109,903,13393920,14823,-2.6015486371393006,0.01567089,0.2,7190,0.12553059895833332,0.0003,-0.0011366427243531992,0.11986785194312688,0.012089837342500687,0.8115738779306412
450.0,1229.086,110,903,13516800,14957,-2.5508745503549775,0.012788202,0.2,7200,0.120390625,0.0003,-0.0012775205489560903,0.10049715405019621,0.04883506894111633,0.8389971107244492
450.0,1230.3109,111,903,13639680,15090,-2.5628151325384776,0.0148944305,0.2,7210,0.12092529296875,0.0003,-0.0010377453576074912,0.09301141838067754,0.055570170283317566,0.8508234471082687
450.0,1238.152,112,903,13762560,15224,-2.5805918900171916,0.014256537,0.2,7220,0.11786539713541666,0.0003,-0.0017133462702925801,0.11727093041350599,0.10571207851171494,0.7948713451623917
450.0,1199.6227,113,903,13885440,15361,-2.581879050557812,0.012326942,0.2,7230,0.11003336588541666,0.0003,-0.00115423379039233,0.1006452770550095,0.029958203434944153,0.8088015019893646
450.0,1173.259,114,903,14008320,15496,-2.541479281919698,0.013047644,0.2,7240,0.11596761067708333,0.0003,-0.0015933326392466066,0.09008681715315713,0.016368165612220764,0.8323523700237274
450.0,1290.1688,115,904,14131200,15631,-2.568245085924864,0.013178686,0.2,7250,0.11631429036458334,0.0003,-0.001638990472374644,0.08855686567212008,0.03493010252714157,0.8449523001909256
448.32,1196.7058,116,904,14254080,15766,-2.6032489034657678,0.014560438,0.2,7260,0.11712320963541667,0.0003,-0.0022158273535508974,0.10295157615563463,0.061400845646858215,0.8333578407764435
449.56,1263.9336,117,904,14376960,15901,-2.530342406916122,0.013734465,0.2,7270,0.11821940104166667,0.0003,-0.002418242198891676,0.08733585185902484,0.07661701738834381,0.8616564869880676
443.34,1157.2305,118,904,14499840,16033,-2.576300666915874,0.012150919,0.2,7280,0.117197265625,0.0003,-0.001701965563873576,0.09463082316132689,0.0388047993183136,0.8250706940889359
450.0,1243.5378,119,904,14622720,16168,-2.513781155856947,0.011430864,0.2,7290,0.10293294270833334,0.0003,-0.0012091469438291825,0.08732573222465968,0.09790775924921036,0.8260510116815567
448.66,1267.0164,120,904,14745600,16303,-2.5473994174848,0.013325681,0.2,7300,0.11548258463541666,0.0003,-0.0019896852054262127,0.07518180557543626,0.022995395585894585,0.8721104860305786
450.0,1271.7936,121,904,14868480,16438,-2.5707345645626387,0.012599262,0.2,7310,0.11423258463541666,0.0003,-0.0017179842166600186,0.08326780334372112,0.07898906618356705,0.8504541665315628
450.0,1203.3267,122,904,14991360,16574,-2.583203573885063,0.012536746,0.2,7320,0.11105387369791667,0.0003,-0.0012725177571352713,0.07738019594124732,0.08172339200973511,0.8655731081962585
450.0,1208.4125,123,904,15114240,16709,-2.5831637826561926,0.013290878,0.2,7330,0.11739095052083333,0.0003,-0.0019051094809189332,0.08032444099757413,0.031101137399673462,0.8693161755800247
450.0,1256.7161,124,904,15237120,16842,-2.59888873125116,0.012732621,0.2,7340,0.11743245442708333,0.0003,-0.0015403336114468403,0.08938092077965848,0.12409707903862,0.8656931966543198
450.0,1357.7125,125,904,15360000,16974,-2.570593291359643,0.012880719,0.2,7350,0.12239176432291667,0.0003,-0.0017560261009657552,0.0872993705565265,0.14756560325622559,0.8693296313285828
450.0,1276.9337,126,904,15482880,17109,-2.6022745443383855,0.014463892,0.2,7360,0.11825032552083334,0.0003,-0.0015376147677731448,0.10337220790340022,0.0257952231913805,0.8532116860151291
450.0,1269.366,127,904,15605760,17245,-2.5934004313498735,0.012128163,0.2,7370,0.11174967447916667,0.0003,-0.0011670386248230594,0.10009921557405808,-0.0009430758655071259,0.8466694504022598
450.0,1203.2273,128,905,15728640,17378,-2.614572692674895,0.01201573,0.2,7380,0.11692220052083334,0.0003,-0.0010090893388890738,0.11248902354505845,0.021388590335845947,0.8349470347166061
450.0,1292.8634,129,905,15851520,17514,-2.563516445818047,0.012870546,0.2,7390,0.11984212239583333,0.0003,-0.001977049047187999,0.10449111555079678,0.044475723057985306,0.8305073231458664
450.0,1337.6598,130,905,15974400,17649,-2.5687111071000497,0.012697657,0.2,7400,0.11553385416666667,0.0003,-0.001532932386774822,0.11426747164444047,0.030989445745944977,0.8074932843446732
450.0,1216.9823,131,905,16097280,17785,-2.616356172238787,0.012538314,0.2,7410,0.12766438802083332,0.0003,-0.0023909561496141883,0.09756852453152533,0.03119703009724617,0.8603972345590591
450.0,1209.278,132,905,16220160,17921,-2.560300509457787,0.011495003,0.2,7420,0.11511800130208333,0.0003,-0.0012553099218712304,0.10700058274805391,0.038355063647031784,0.8098938912153244
450.0,1235.53,133,905,16343040,18058,-2.5760081371540826,0.01186504,0.2,7430,0.11643229166666667,0.0003,-0.0015817761890017815,0.10492256713022168,0.025231797248125076,0.8281258195638657
450.0,1309.0895,134,904,16465920,18194,-2.5692242547993858,0.012798107,0.2,7440,0.11664876302083334,0.0003,-0.0017241064490008285,0.10176154554787596,0.02165544591844082,0.8186860084533691
450.0,1251.3689,135,905,16588800,18328,-2.5910018934806187,0.013098121,0.2,7450,0.11518147786458334,0.0003,-0.0017645245544311667,0.09623281311930137,0.02264605090022087,0.8789242282509804
450.0,1278.51,136,905,16711680,18463,-2.5965125931799413,0.012197984,0.2,7460,0.11912434895833333,0.0003,-0.0020367026184309606,0.11721599215530053,0.07644416391849518,0.8417276740074158
450.0,1234.4015,137,905,16834560,18600,-2.647018692046404,0.013243234,0.2,7470,0.11770345052083334,0.0003,-0.0021590440555701207,0.12676610241872063,0.041119445115327835,0.8076229244470596
450.0,1231.4773,138,905,16957440,18733,-2.6237283210332194,0.011127413,0.2,7480,0.10803466796875,0.0003,-0.001145126890666385,0.11173552447216935,0.09787854552268982,0.8240876495838165
450.0,1271.8667,139,904,17080320,18886,-2.6385393317913017,0.012742665,0.2,7490,0.11798583984375,0.0003,-0.0021141870016920922,0.11409231162731885,0.11510194838047028,0.8142245709896088
