time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
97,1569.4265,11919360,416.26666666666665,766,15545,-0.01583842767595949,0.2,0.0002,0.11640501,0.4995556640625,0.0494923326644251,0.9061530157923698,960,-0.0011451393365859985,-2.008644237027814
98,1603.0028,12042240,424.8666666666667,766,15711,-0.01534620037242045,0.2,0.0002,0.115743704,0.5022298177083333,0.05036896262327597,0.8598387688398361,970,-0.03724948316812515,-2.0363269217622775
99,1291.284,12165120,350.0,766,15876,-0.015111522895397987,0.2,0.0002,0.11906276,0.5024763997395834,0.05410424659428827,0.8631554394960403,980,-0.010755334049463272,-1.9809884778472284
100,1523.1216,12288000,415.93333333333334,765,16043,-0.013971483609099474,0.2,0.0002,0.123363025,0.5008243815104166,0.0525060069514196,0.8828298598527908,990,-0.00617704913020134,-1.9723046286962926
101,1317.2936,12410880,365.26666666666665,765,16209,-0.014025848615632034,0.2,0.0002,0.12051786,0.50056396484375,0.04939668484090362,0.9003079533576965,1000,-0.006695394404232502,-1.9673560661574205
102,1388.3969,12533760,378.26666666666665,765,16375,-0.013076445062482284,0.2,0.0002,0.11969059,0.4991048177083333,0.05301181967898932,0.8438337743282318,1010,0.02328796125948429,-1.9473681936909755
103,1425.6898,12656640,384.3333333333333,765,16541,-0.01444770747745982,0.2,0.0002,0.122114904,0.5007902018229167,0.0525190959727964,0.8935232982039452,1020,-0.014258346520364285,-1.9455133225396275
104,1152.0167,12779520,309.53333333333336,764,16705,-0.013523590847962624,0.2,0.0002,0.12401001,0.49954427083333336,0.056526106869860086,0.9000201001763344,1030,-0.016870761290192604,-1.9125826891946296
105,1302.2485,12902400,356.2,764,16870,-0.0135393854166432,0.2,0.0002,0.12695761,0.49857503255208335,0.06351105372727034,0.888252466917038,1040,0.013852076604962349,-1.8812818773835898
106,1249.4177,13025280,337.73333333333335,764,17036,-0.013125414380801885,0.2,0.0002,0.12400569,0.50205322265625,0.05829578013877229,0.8961914926767349,1050,-0.025298641994595528,-1.8936558750582237
107,1553.3059,13148160,420.06666666666666,764,17198,-0.013568447550611987,0.2,0.0002,0.123787545,0.49829427083333333,0.05966001834325046,0.8792781457304955,1060,-0.011480232700705528,-1.8693808624582986
108,1480.0679,13271040,390.93333333333334,764,17363,-0.013087355234262455,0.2,0.0002,0.12645796,0.49899983723958335,0.0593387747330659,0.8644024282693863,1070,-0.0015355991199612617,-1.8664429349886875
