rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range
1575.519,23373,951,448.14,181,22241280,0.028814517,0.01357366144657135,1800,-3.016791210733354,0.09567778982949676,0.0003,0.8132334500551224,-0.007358246319114793,0.24764485677083334,0.2
1532.0964,23504,951,440.56,182,22364160,0.029131027,0.036887846887111664,1810,-3.009933711004754,0.11036207543967369,0.0003,0.7952442616224289,-0.007207196458481727,0.24688395182291667,0.2
1485.4297,23635,951,422.5,183,22487040,0.029182574,0.049281563609838486,1820,-2.9959750112270314,0.10176617443808937,0.0003,0.8012633323669434,-0.00727213143064849,0.2465234375,0.2
1569.1334,23767,951,447.78,184,22609920,0.028784191,0.040798015892505646,1830,-2.9969859437396127,0.10965473954172922,0.0003,0.8343673944473267,-0.0073522054258986225,0.2458447265625,0.2
1535.3517,23896,951,436.04,185,22732800,0.029241674,-0.0009652227163314819,1840,-3.0101314923912286,0.10185117774710913,0.0003,0.8245863914489746,-0.007344029838010708,0.24484781901041666,0.2
1475.0864,24053,950,420.96,186,22855680,0.02930154,0.0068840328603982925,1850,-2.994345635920763,0.10151364604845488,0.0003,0.8259200900793076,-0.007386697875044017,0.24889973958333333,0.2
1548.6534,24185,950,435.48,187,22978560,0.029601682,0.044229425489902496,1860,-2.965454706711074,0.10832660307758488,0.0003,0.8119138479232788,-0.0067962058250911166,0.2514892578125,0.2
1531.0911,24315,950,441.74,188,23101440,0.029032977,0.010175062343478203,1870,-2.9651100038612883,0.10835306758027097,0.0003,0.7998193949460983,-0.006401014485481938,0.24497639973958332,0.2
1528.4365,24447,949,429.5,189,23224320,0.030045813,0.12354378402233124,1880,-2.967115275859833,0.0986460635191179,0.0003,0.8377171754837036,-0.006884946225072781,0.24937255859375,0.2
1494.0288,24579,949,428.06,190,23347200,0.029511137,0.04188664257526398,1890,-2.966196072883904,0.10450351024206611,0.0003,0.8241997212171555,-0.006995326016582718,0.24768473307291666,0.2
1503.0815,24708,949,425.66,191,23470080,0.029677073,0.08272559940814972,1900,-2.9394402547429004,0.10660591671961205,0.0003,0.8175326436758041,-0.00600359860341996,0.24533365885416666,0.2
1519.6836,24839,949,437.16,192,23592960,0.030861594,0.07073032855987549,1910,-2.9289939019083975,0.11044759930936077,0.0003,0.7945534288883209,-0.006858273260665252,0.25214518229166666,0.2
1509.6829,24968,949,440.18,193,23715840,0.030319488,0.004782497882843018,1920,-2.9085233943536877,0.10731819245624744,0.0003,0.8262563645839691,-0.00652771944399016,0.24829833984375,0.2
