time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance
749,106,17384,430.18,13025280,1460.7404,-2.841824505664408,0.0003,0.4829484049479167,0.2,0.11425213,0.11534606845050197,0.04749487340450287,1050,-0.00937933528093102,0.7460281252861023
749,107,17551,441.04,13148160,1472.3796,-2.840752301067114,0.0003,0.4820125325520833,0.2,0.1166656,0.12357939496825565,-0.02426351234316826,1060,-0.009928768296958879,0.7609118521213531
748,108,17719,441.48,13271040,1488.1323,-2.8475484052548805,0.0003,0.478056640625,0.2,0.11594371,0.11710023185728156,0.011207906529307365,1070,-0.010132178136051759,0.7299001514911652
748,109,17886,443.4,13393920,1513.5414,-2.8692584630474447,0.0003,0.4693684895833333,0.2,0.1071099,0.12423781696697309,-0.020730014890432358,1080,-0.011074281529078385,0.7105536758899689
748,110,18052,436.94,13516800,1498.7373,-2.873484411401053,0.0003,0.4704923502604167,0.2,0.11108659,0.12785188978140163,0.027179773896932602,1090,-0.009726441359149855,0.7178673446178436
748,111,18220,439.42,13639680,1494.9102,-2.8792622864618895,0.0003,0.4610677083333333,0.2,0.10353604,0.12088701844225094,-0.03050490841269493,1100,-0.010386414436761698,0.7111720144748688
748,112,18389,440.42,13762560,1487.1079,-2.8383715400099754,0.0003,0.46392171223958334,0.2,0.10889589,0.12075328586851053,0.05690064653754234,1110,-0.010376227455089974,0.7334346771240234
748,113,18558,445.96,13885440,1506.3773,-2.7432065356522797,0.0003,0.47235677083333333,0.2,0.118728675,0.09878990378007681,0.006220217794179916,1120,-0.010066535970430172,0.7706183791160583
747,114,18747,443.24,14008320,1510.7349,-2.7211979279170433,0.0003,0.47421712239583336,0.2,0.118627615,0.09791587716618476,-0.004854798316955566,1130,-0.008767640479106073,0.7721704989671707
746,115,18917,439.94,14131200,1483.9012,-2.7689338726798693,0.0003,0.46700602213541664,0.2,0.11234546,0.11327220513267093,-0.038744062185287476,1140,-0.008881439918701895,0.7265525460243225
746,116,19086,450.0,14254080,1504.2589,-2.6683064474662146,0.0003,0.472626953125,0.2,0.12221352,0.10015935571980662,0.004499414935708046,1150,-0.00768485523780934,0.7835833877325058
746,117,19254,442.0,14376960,1484.9772,-2.6402473427106936,0.0003,0.47571207682291666,0.2,0.12447353,0.08527711026380226,0.01749981939792633,1160,-0.008541080698632868,0.8001635521650314
746,118,19420,450.0,14499840,1513.5618,-2.670058054837088,0.0003,0.47062255859375,0.2,0.12712356,0.09273406869600877,-0.025380350649356842,1170,-0.00844903793919002,0.8020786494016647
746,119,19586,427.6,14622720,1443.4164,-2.65227822907269,0.0003,0.47785888671875,0.2,0.13059664,0.10094715007265526,-0.010121867060661316,1180,-0.008358948312746483,0.7817261666059494
746,120,19754,438.76,14745600,1478.0793,-2.6043992917239667,0.0003,0.47937174479166667,0.2,0.13324928,0.09498646653368875,0.004981406033039093,1190,-0.008077522714193036,0.8154968768358231
746,121,19923,442.54,14868480,1465.3877,-2.5723235033700864,0.0003,0.47928548177083335,0.2,0.13341469,0.07759647840784357,-0.03347686678171158,1200,-0.007009674591148117,0.8043403774499893
746,122,20092,439.62,14991360,1464.0688,-2.5477977000549434,0.0003,0.47926432291666665,0.2,0.13311173,0.08556614802320837,0.020849693566560745,1210,-0.006456380181947073,0.8112077713012695
744,123,20295,433.1,15114240,1470.251,-2.5855485242481033,0.0003,0.47680908203125,0.2,0.13608113,0.09283759750207538,0.021565236151218414,1220,-0.007635648573238237,0.8194774985313416
744,124,20464,444.54,15237120,1530.8888,-2.678315527451535,0.0003,0.46907145182291665,0.2,0.124202035,0.10280304442940784,0.009187433868646622,1230,-0.008783961632107094,0.7954229712486267
744,125,20634,431.68,15360000,1468.7343,-2.673599362149835,0.0003,0.4643351236979167,0.2,0.12389786,0.09548067121334801,0.0005333907902240753,1240,-0.009756488385904353,0.7884788513183594
744,126,20802,449.78,15482880,1537.8389,-2.706090137672921,0.0003,0.46209798177083333,0.2,0.11875067,0.12070030988664561,0.09656223654747009,1250,-0.008279873838849502,0.7571751475334167
744,127,20972,443.74,15605760,1510.5558,-2.685197180310885,0.0003,0.4559098307291667,0.2,0.11729375,0.11340288890113394,0.022587263956665993,1260,-0.009417127971743563,0.7536087185144424
742,128,21176,450.0,15728640,1555.4496,-2.6822421412418285,0.0003,0.46063802083333333,0.2,0.121049695,0.10476803237611118,-0.014430544339120388,1270,-0.008598104330897817,0.7644876837730408
741,129,21379,447.52,15851520,1543.8488,-2.7246101316437126,0.0003,0.4574788411458333,0.2,0.11580729,0.1248564882002635,0.05078165978193283,1280,-0.008681019376484377,0.7459350526332855
741,130,21554,445.56,15974400,1527.7805,-2.6906688323865335,0.0003,0.45861490885416667,0.2,0.11566871,0.11533212313962092,-0.01678796485066414,1290,-0.008813584601011826,0.7587140947580338
741,131,21721,444.46,16097280,1536.7742,-2.719815791125099,0.0003,0.45130126953125,0.2,0.11289296,0.12793558960057758,0.15069825947284698,1300,-0.00898740679143278,0.7494975924491882
740,132,21892,449.48,16220160,1551.9519,-2.6632233153035245,0.0003,0.45686767578125,0.2,0.11859013,0.11954517306468915,0.0012763682752847672,1310,-0.007784403873156407,0.7640240639448166
740,133,22062,446.22,16343040,1536.7593,-2.6354394417007763,0.0003,0.4584765625,0.2,0.11974581,0.10861451232180115,-0.02279849350452423,1320,-0.007636656474248108,0.766527995467186
740,134,22232,450.0,16465920,1546.045,-2.652069103221099,0.0003,0.4601944986979167,0.2,0.12410089,0.10967088673782807,0.0580824576318264,1330,-0.008957919356250083,0.7736146450042725
740,135,22402,441.16,16588800,1515.1703,-2.5880054161076744,0.0003,0.4612019856770833,0.2,0.12789641,0.1068099787228372,0.05138678103685379,1340,-0.007165089255049679,0.7799991220235825
740,136,22572,450.0,16711680,1535.773,-2.6238996709386506,0.0003,0.4565283203125,0.2,0.12071605,0.0978903582576216,-0.04250619187951088,1350,-0.00811384782768073,0.8115053772926331
740,137,22742,446.92,16834560,1519.8931,-2.607736360505223,0.0003,0.45822265625,0.2,0.12115992,0.1022234789809833,0.03977905213832855,1360,-0.00800480153172733,0.7935023605823517
740,138,22912,445.1,16957440,1523.8566,-2.4668667629982033,0.0003,0.46849690755208334,0.2,0.13697316,0.07592681476390377,-0.004658820107579231,1370,-0.0055146176690080515,0.8346558511257172
740,139,23079,442.76,17080320,1512.2206,-2.5414392156650623,0.0003,0.4654931640625,0.2,0.12791976,0.09307817437006936,0.010625399649143219,1380,-0.007852141050958987,0.8071899563074112
740,140,23247,446.36,17203200,1524.8788,-2.5303037576625744,0.0003,0.46440673828125,0.2,0.13188788,0.10054077891967608,0.027303334325551987,1390,-0.00721348972013099,0.8108862340450287
739,141,23415,439.02,17326080,1483.7411,-2.5007606909175712,0.0003,0.4649503580729167,0.2,0.14288785,0.08229169953595071,0.011704271659255028,1400,-0.007123773697464155,0.8227640241384506
739,142,23591,439.44,17448960,1502.1129,-2.411839955188334,0.0003,0.4723811848958333,0.2,0.14448155,0.08496900854287863,0.013577578589320183,1410,-0.0057289014042877775,0.8249171078205109
739,143,23758,434.88,17571840,1473.1852,-2.4479148872507115,0.0003,0.4656673177083333,0.2,0.14030352,0.08321213520946913,-0.018057378008961678,1420,-0.00584955924176029,0.820831760764122
