rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction
435.3,11673600,964,95,1445.3655,12097,-0.007721408960363382,0.0003,0.11961472466452203,0.2,0.026252303,0.06724473834037781,0.8247290849685669,940,-3.36130018863827,0.25364339192708335
427.72,11796480,964,96,1383.3352,12225,-0.007422916123863009,0.0003,0.13908029630789923,0.2,0.02599228,0.03067122958600521,0.7953367084264755,950,-3.3836487689365944,0.2495849609375
417.18,11919360,964,97,1357.7522,12353,-0.007069324670853045,0.0003,0.13477191263800098,0.2,0.026649022,-0.005544161424040794,0.8335241824388504,960,-3.3404557763785125,0.25186279296875
446.14,12042240,964,98,1462.087,12480,-0.006907200059570944,0.0003,0.12211065002561858,0.2,0.026122171,0.03669389337301254,0.838869035243988,970,-3.3429536182433366,0.25302815755208335
402.28,12165120,964,99,1339.8291,12608,-0.006817299443937373,0.0003,0.1451403082430867,0.2,0.025896944,0.04856547713279724,0.7599630653858185,980,-3.3342425343145927,0.25201985677083333
419.38,12288000,964,100,1383.1355,12739,-0.007474846361398401,0.0003,0.16142450513648024,0.2,0.027690312,0.03391920402646065,0.8456494808197021,990,-3.3173870947460333,0.25756510416666667
441.2,12410880,964,101,1420.6031,12868,-0.007756693815614805,0.0003,0.16829194150447924,0.2,0.027582683,0.04204487428069115,0.8362901657819748,1000,-3.2831962651014326,0.26052978515625
423.2,12533760,963,102,1390.8722,13012,-0.007135278340301738,0.0003,0.12454715406269921,0.2,0.026130697,0.03919064626097679,0.8235409110784531,1010,-3.2707626474276186,0.2545271809895833
417.24,12656640,962,103,1359.8247,13150,-0.007409024856909431,0.0003,0.1570369474258041,0.2,0.027624596,0.03552689030766487,0.8231576979160309,1020,-3.285238881831368,0.25934977213541666
439.36,12779520,962,104,1435.0685,13276,-0.00726366353556538,0.0003,0.1390806455380516,0.2,0.026759716,0.06342731416225433,0.8080669045448303,1030,-3.2459904731065037,0.2563753255208333
419.76,12902400,960,105,1373.4614,13433,-0.006990873305185232,0.0003,0.15626314392953644,0.2,0.027366688,0.08890478312969208,0.7818457633256912,1040,-3.2327801291272045,0.2615812174479167
429.08,13025280,960,106,1407.2216,13559,-0.0067889159174107285,0.0003,0.15157899735233513,0.2,0.027377645,0.0019700899720191956,0.8364226967096329,1050,-3.230226916397611,0.2563118489583333
412.94,13148160,960,107,1375.4492,13686,-0.006767268362261045,0.0003,0.14872402273652066,0.2,0.026622344,0.025352664291858673,0.8059797137975693,1060,-3.2423609713837505,0.25468831380208334
430.12,13271040,960,108,1424.4194,13817,-0.007199081755388761,0.0003,0.1618985486049011,0.2,0.02689579,0.08884898573160172,0.7988445907831192,1070,-3.255020918560525,0.2571744791666667
428.58,13393920,960,109,1396.732,13947,-0.007097052805038402,0.0003,0.13566014702169923,0.2,0.026936943,0.004280131310224533,0.7482094764709473,1080,-3.211255409618219,0.25967529296875
424.46,13516800,960,110,1407.43,14073,-0.007272739868052061,0.0003,0.1630869708917453,0.2,0.027151,0.025850696489214897,0.7819404900074005,1090,-3.234829850792885,0.25725179036458334
436.7,13639680,958,111,1440.667,14229,-0.007521145390501261,0.0003,0.1326384321716614,0.2,0.027075673,0.028550662100315094,0.8176136314868927,1100,-3.2250743825857837,0.25751953125
418.54,13762560,958,112,1375.8315,14365,-0.006929187151678585,0.0003,0.14481270605310176,0.2,0.027753698,0.05634203553199768,0.7941674739122391,1110,-3.240290088529388,0.259677734375
440.98,13885440,958,113,1464.1719,14490,-0.007064831470106583,0.0003,0.1548309955081398,0.2,0.028281394,0.010782819241285324,0.8115731477737427,1120,-3.1961300264671446,0.26299479166666667
433.76,14008320,958,114,1429.976,14618,-0.007264689885796542,0.0003,0.15123963666973092,0.2,0.027431143,0.010548241436481476,0.79401995241642,1130,-3.2265342585121592,0.26173746744791665
417.3,14131200,958,115,1398.1128,14746,-0.00710405870137644,0.0003,0.14368008057363718,0.2,0.02723918,0.01524295099079609,0.7881263941526413,1140,-3.224987600110471,0.25545654296875
426.82,14254080,958,116,1436.3434,14874,-0.007068543279577473,0.0003,0.1482026156107895,0.2,0.027257519,0.023515300825238228,0.8402309864759445,1150,-3.2164641290406384,0.2564168294270833
427.68,14376960,958,117,1440.9429,15001,-0.007141665097642544,0.0003,0.16336407269836248,0.2,0.027434763,0.08467674255371094,0.7855802476406097,1160,-3.1970759138961635,0.26175862630208335
422.9,14499840,958,118,1418.7284,15128,-0.00802228002292395,0.0003,0.14105701863144834,0.2,0.02741692,0.018900159746408463,0.7964281439781189,1170,-3.2035065706943473,0.26037760416666667
419.42,14622720,958,119,1403.5887,15254,-0.006981841985895396,0.0003,0.1592087163165949,0.2,0.0273629,0.08643422275781631,0.7937167882919312,1180,-3.192216907925904,0.2575455729166667
429.04,14745600,958,120,1424.4626,15381,-0.007209764553796655,0.0003,0.1612463009005296,0.2,0.027646659,0.05338561162352562,0.8399224877357483,1190,-3.1963971952100594,0.25897216796875
428.5,14868480,958,121,1431.4424,15512,-0.007074136627288681,0.0003,0.15531575312401402,0.2,0.028135302,0.09206002950668335,0.8038873076438904,1200,-3.1901553656285007,0.2593155924479167
426.78,14991360,958,122,1436.6128,15640,-0.00672589091066584,0.0003,0.160927660256469,0.2,0.027365973,0.04565161094069481,0.816752552986145,1210,-3.219320570702354,0.2557421875
432.96,15114240,958,123,1467.1583,15767,-0.006847919384181295,0.0003,0.16010467386600793,0.2,0.027573,0.05512560158967972,0.7794708013534546,1220,-3.214818631236752,0.25228678385416664
448.06,15237120,958,124,1518.2454,15895,-0.0070934047820386086,0.0003,0.13762614930582154,0.2,0.027223554,0.14789322018623352,0.8064286708831787,1230,-3.221425867602229,0.25339192708333336
431.0,15360000,958,125,1441.6304,16023,-0.006925820165130669,0.0003,0.13918495846747342,0.2,0.027047954,0.07217946648597717,0.7950946390628815,1240,-3.203701463714242,0.253486328125
415.86,15482880,958,126,1402.5333,16150,-0.006895723600694813,0.0003,0.13555066703648966,0.2,0.028033096,0.026417747139930725,0.8106884658336639,1250,-3.168691949012379,0.25755208333333335
432.48,15605760,958,127,1464.4083,16284,-0.007634680380961072,0.0003,0.17595744197557603,0.2,0.028822964,0.07625564932823181,0.7824411243200302,1260,-3.1672614738717675,0.263916015625
421.42,15728640,958,128,1442.5806,16412,-0.006715114048347459,0.0003,0.1465400735809817,0.2,0.027658887,0.06947188079357147,0.7466574013233185,1270,-3.143912164022525,0.254951171875
438.04,15851520,958,129,1468.869,16543,-0.007332234819574903,0.0003,0.14622549567749957,0.2,0.027750155,0.15971948206424713,0.8391625434160233,1280,-3.1260675749182703,0.25852864583333335
441.6,15974400,957,130,1499.8536,16675,-0.006944091810770867,0.0003,0.14756908068122962,0.2,0.027966594,0.017122793942689896,0.7957464009523392,1290,-3.112809399602314,0.25853352864583334
413.5,16097280,957,131,1401.427,16804,-0.007252153110181704,0.0003,0.14581128078483743,0.2,0.028718324,0.03129282966256142,0.7529711872339249,1300,-3.1162476779023804,0.2625431315104167
434.34,16220160,957,132,1482.3029,16932,-0.006604373678270955,0.0003,0.16291279646665013,0.2,0.028283365,0.056462086737155914,0.8249469101428986,1310,-3.1045415449390807,0.26040201822916664
426.3,16343040,957,133,1459.9554,17059,-0.007428925752498496,0.0003,0.15894416704880618,0.2,0.028148405,0.04036840423941612,0.8316692262887955,1320,-3.11435478537033,0.26077718098958336
436.34,16465920,957,134,1495.8522,17187,-0.006783157516086552,0.0003,0.16414013906391725,0.2,0.028842637,0.047566335648298264,0.8270736187696457,1330,-3.0849628831942875,0.26231526692708335
434.62,16588800,958,135,1474.0688,17315,-0.0065180018507271596,0.0003,0.16666824167691327,0.2,0.028661877,0.15042808651924133,0.7780758887529373,1340,-3.0858064547181128,0.26204833984375
422.2,16711680,958,136,1443.8738,17443,-0.0066787807830587555,0.0003,0.15346535411294704,0.2,0.02848224,0.04237443953752518,0.7880214601755142,1350,-3.0816222151617207,0.259052734375
410.98,16834560,958,137,1383.0281,17570,-0.00726120336406287,0.0003,0.15789108894726572,0.2,0.029492127,0.06804508715867996,0.8102623373270035,1360,-3.071945004723966,0.2657316080729167
426.86,16957440,958,138,1428.1285,17697,-0.00695587488162649,0.0003,0.18522306535043753,0.2,0.028778948,0.09613771736621857,0.8484655618667603,1370,-3.0552473302185534,0.26197916666666665
428.84,17080320,958,139,1448.5781,17827,-0.006691489666858009,0.0003,0.17117219695520666,0.2,0.02898537,0.11721262335777283,0.8020795285701752,1380,-3.0492131253580252,0.26391764322916667
423.86,17203200,956,140,1443.3894,17984,-0.006711810074399788,0.0003,0.15350066511358212,0.2,0.028147709,0.0555439367890358,0.8539499193429947,1390,-3.0572675934558116,0.26063720703125
429.28,17326080,956,141,1449.82,18111,-0.006541393975300404,0.0003,0.13583797859231708,0.2,0.02809021,0.0197360347956419,0.855237603187561,1400,-3.056296622765561,0.25933919270833333
426.76,17448960,956,142,1429.5947,18237,-0.006561955052996685,0.0003,0.16690588011299648,0.2,0.028256347,0.018987711519002914,0.7654870897531509,1410,-3.0674776218459012,0.2577669270833333
445.18,17571840,956,143,1517.5139,18371,-0.00667104141827925,0.0003,0.17980362324645588,0.2,0.028302945,0.053935255855321884,0.8220816105604172,1420,-3.0680337714900574,0.26054036458333335
