time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl
21079,693,1580.4414,119,14622720,410.06666666666666,0.40568929036458334,3110,0.2,0.0002,0.05496880039572716,-0.0063230563898468975,1.3856049760755074,-0.07574975490570068,-1.156129093648245,0.14542174
21259,693,1582.3079,120,14745600,415.06666666666666,0.40755615234375,3120,0.2,0.0002,0.10921166837215424,-0.006467734314707437,0.1907738792245315,0.43726879358291626,-1.1414363524410873,0.15155625
21438,693,1410.3517,121,14868480,370.8666666666667,0.41445556640625,3130,0.2,0.0002,0.0579063855111599,0.0007348974521391938,7.290410655041148,0.15193063020706177,-1.165068129800881,0.15780471
21619,693,1547.8594,122,14991360,412.53333333333336,0.4094694010416667,3140,0.2,0.0002,0.0011840499937534332,-0.002577340515405619,1.2995650859034504,0.5176335275173187,-1.1485752269035827,0.16050796
21801,693,1637.7372,123,15114240,421.1333333333333,0.40902018229166665,3150,0.2,0.0002,0.015067888423800468,-0.006153329252150191,0.18670152046523678,0.4517391324043274,-1.145607805904001,0.14850803
21988,692,1447.1942,124,15237120,382.8666666666667,0.40442301432291666,3160,0.2,0.0002,0.08861516416072845,-0.007434230463104541,0.1623900900913092,0.6076658070087433,-1.1614512775776287,0.14574233
22170,692,1554.9703,125,15360000,405.1333333333333,0.4101220703125,3170,0.2,0.0002,0.028706103563308716,-0.0074684464027632205,0.17471554905195566,0.5691942572593689,-1.1789202663674951,0.14832267
22352,692,1642.3827,126,15482880,425.0,0.4085970052083333,3180,0.2,0.0002,0.0023926179856061935,-0.007502990717024052,0.36378680581896333,0.39581048488616943,-1.1724741787401338,0.15388212
22534,692,1667.5143,127,15605760,432.73333333333335,0.40592529296875,3190,0.2,0.0002,0.25023701786994934,-0.007349519191254027,0.15668573600841532,0.5523603856563568,-1.1647344241539637,0.15622495
22718,692,1494.1608,128,15728640,392.26666666666665,0.40704508463541667,3200,0.2,0.0002,-0.02771596983075142,-0.008612686910006839,0.14400649030906304,0.6717158555984497,-1.1441336343126993,0.14748164
