time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/approx_kl
945,27160,209,25681920,1216.3909,335.8,-0.005140158751334336,0.8810852989554405,2080,-2.150510356867065,0.20063599872140914,0.0003,0.2,0.27170735677083335,0.09648372232913971,0.033706803
945,27288,210,25804800,1193.0278,321.8666666666667,-0.004800778833659933,0.8661784678697586,2090,-2.1243377277751763,0.23580117870413234,0.0003,0.2,0.26976643880208334,0.030235568061470985,0.03343914
945,27417,211,25927680,1471.0271,395.2,-0.0049674380764069305,0.872002363204956,2100,-2.1167095141733685,0.19665743696677965,0.0003,0.2,0.26774983723958334,0.0817624107003212,0.032278482
945,27547,212,26050560,1263.3273,350.53333333333336,-0.0050060296043072106,0.8598215579986572,2110,-2.1204634988183777,0.2040052574078436,0.0003,0.2,0.27160725911458333,0.06228388100862503,0.033873368
945,27675,213,26173440,1458.5109,412.06666666666666,-0.005052358870107128,0.85343798995018,2120,-2.0838121485275525,0.18234170029114466,0.0003,0.2,0.26850504557291666,0.040982525795698166,0.032690752
945,27805,214,26296320,1432.4916,384.2,-0.003946107788057512,0.8781449720263481,2130,-2.052079744401077,0.17396440524268353,0.0003,0.2,0.2670654296875,0.015238475054502487,0.032988083
945,27935,215,26419200,1581.9554,429.46666666666664,-0.004966002215818056,0.8706501424312592,2140,-2.0374796734315654,0.19820411908915656,0.0003,0.2,0.2705859375,0.19719520211219788,0.034180474
945,28063,216,26542080,1475.1348,397.06666666666666,-0.005215951165603958,0.860418289899826,2150,-2.0419740554007393,0.17119421207918398,0.0003,0.2,0.26890869140625,0.20224496722221375,0.033268575
945,28191,217,26664960,1461.1517,392.46666666666664,-0.004744991802035656,0.8776563182473183,2160,-2.019549844978998,0.21155745355276545,0.0003,0.2,0.2683203125,0.023738764226436615,0.032666028
945,28319,218,26787840,1476.5094,404.6,-0.004357010303804903,0.8588995039463043,2170,-2.045905141408245,0.20484522671041,0.0003,0.2,0.26595621744791664,0.00488024577498436,0.03291986
945,28449,219,26910720,1507.2554,403.8666666666667,-0.005093837982161252,0.8671913594007492,2180,-2.0633896612003446,0.21013970102804402,0.0003,0.2,0.2688427734375,0.03969860449433327,0.033500932
945,28578,220,27033600,1504.9054,412.4,-0.0038454845607460205,0.8769931942224503,2190,-2.0351405964357157,0.21634377085720188,0.0003,0.2,0.26705078125,0.07050798833370209,0.03270742
