2024-03-11 00:42:23.299080
Logging to Training/Logs/TekusReward1-1E-FINAL3cont
loading: TekusReward1-1E-FINAL3
saving: TekusReward1-1E-FINAL3cont
35500000
---------------------------------
| rollout/           |          |
|    clip_fraction        | 0.221      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.651     |
|    explained_variance   | 0.895      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0598     |
|    n_updates            | 9700       |
|    policy_gradient_loss | -0.00808   |
|    value_loss           | 0.0633     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 433         |
|    ep_rew_mean          | 1517.2576   |
| time/                   |             |
|    fps                  | 614         |
|    iterations           | 45          |
|    time_elapsed         | 8993        |
|    total_timesteps      | 5529600     |
| train/                  |             |
|    approx_kl            | 0.092458755 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.646      |
|    explained_variance   | 0.867       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.0028     |
|    n_updates            | 9710        |
|    policy_gradient_loss | -0.00813    |
|    value_loss           | 0.0667      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
