2024-02-18 19:00:10.618245
Logging to Training/Logs/TekusRewardOne-OneC
----------------------------------
| rollout/           |           |
|    loss                 | 0.00362    |
|    n_updates            | 3660       |
|    policy_gradient_loss | -0.000438  |
|    value_loss           | 0.0846     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1098.3386  |
| time/                   |            |
|    fps                  | 914        |
|    iterations           | 42         |
|    time_elapsed         | 5644       |
|    total_timesteps      | 5160960    |
| train/                  |            |
|    approx_kl            | 0.13360707 |
|    clip_fraction        | 0.124      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.814      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0145     |
|    n_updates            | 3670       |
|    policy_gradient_loss | -0.00343   |
|    value_loss           | 0.0649     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1070.8965  |
| time/                   |            |
|    fps                  | 914        |
|    iterations           | 43         |
|    time_elapsed         | 5780       |
|    total_timesteps      | 5283840    |
| train/                  |            |
|    approx_kl            | 0.06762782 |
|    clip_fraction        | 0.14       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.759      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00184    |
|    n_updates            | 3680       |
|    policy_gradient_loss | 0.0128     |
|    value_loss           | 0.0947     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1079.6648   |
| time/                   |             |
|    fps                  | 914         |
|    iterations           | 44          |
|    time_elapsed         | 5914        |
|    total_timesteps      | 5406720     |
| train/                  |             |
|    approx_kl            | 0.022021135 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.79        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00943     |
|    n_updates            | 3690        |
|    policy_gradient_loss | -0.00217    |
|    value_loss           | 0.0728      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1068.0321   |
| time/                   |             |
|    fps                  | 914         |
|    iterations           | 45          |
|    time_elapsed         | 6049        |
|    total_timesteps      | 5529600     |
| train/                  |             |
|    approx_kl            | 0.022826409 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.18       |
|    explained_variance   | 0.749       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0606      |
|    n_updates            | 3700        |
|    policy_gradient_loss | -0.00138    |
|    value_loss           | 0.0848      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1054.0917   |
| time/                   |             |
|    fps                  | 913         |
|    iterations           | 46          |
|    time_elapsed         | 6184        |
|    total_timesteps      | 5652480     |
| train/                  |             |
|    approx_kl            | 0.032450356 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.0003      |
