time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss
7217,409.035,450.0,970,57,7004160,0.24797526041666668,0.01299796812236309,0.022810262,0.0003,0.08394328827955178,0.37693166732788086,-3.624745843311151,0.2,560,-0.006956957018319372
7343,420.0818,450.0,970,58,7127040,0.2506380208333333,0.0014174673706293106,0.022947645,0.0003,0.09117123039541183,0.3747554421424866,-3.628610506542027,0.2,570,-0.006730103678128216
7473,409.8471,450.0,970,59,7249920,0.24636555989583334,0.05155821889638901,0.022458972,0.0003,0.08290305430986336,0.25423556566238403,-3.640095012287299,0.2,580,-0.006192159741870758
7602,402.50714,450.0,969,60,7372800,0.24846272786458334,0.05145446956157684,0.023233457,0.0003,0.09410089179499967,0.35379868745803833,-3.6201763210693993,0.2,590,-0.007010847805601467
7727,408.7159,450.0,969,61,7495680,0.24606282552083333,0.0007535303011536598,0.023004,0.0003,0.0947515182988233,0.49506527185440063,-3.6246606158465147,0.2,600,-0.006767623313435251
7853,415.59482,450.0,970,62,7618560,0.24474446614583334,0.06468992680311203,0.022567833,0.0003,0.09477515992771562,0.3501397371292114,-3.635923190563917,0.2,610,-0.00607256547511497
7982,397.29236,450.0,969,63,7741440,0.24581705729166667,0.12372225522994995,0.022014862,0.0003,0.09278728943293875,0.2860749363899231,-3.625149684709807,0.2,620,-0.0062415679418215105
8111,409.70694,450.0,969,64,7864320,0.24470784505208334,-0.004415571689605713,0.022918733,0.0003,0.08814144254118825,0.4297826290130615,-3.6074187342325845,0.2,630,-0.007027095114117401
8240,414.77145,450.0,969,65,7987200,0.24824055989583332,-0.0036742687225341797,0.0229504,0.0003,0.09989145184968948,0.3528764247894287,-3.623880914164086,0.2,640,-0.006542864634617823
8366,417.14105,450.0,969,66,8110080,0.25004150390625,0.033747151494026184,0.02270323,0.0003,0.08797753376684947,0.2854177951812744,-3.616615055128932,0.2,650,-0.006853221481887886
8495,412.03232,450.0,969,67,8232960,0.24489583333333334,0.0860825702548027,0.02208874,0.0003,0.09783039937334252,0.3269171714782715,-3.611317540345093,0.2,660,-0.0060944560663119774
8625,413.28867,450.0,968,68,8355840,0.24287109375,0.0805777758359909,0.022308808,0.0003,0.08747407238287754,0.30072641372680664,-3.6035827858373524,0.2,670,-0.005936103768781322
8754,419.78833,450.0,968,69,8478720,0.2440576171875,0.08364465087652206,0.022567296,0.0003,0.10069313185997696,0.2427215576171875,-3.601439438946545,0.2,680,-0.006350635178035494
8882,410.6666,450.0,968,70,8601600,0.25331787109375,0.007260763086378574,0.023319717,0.0003,0.09205049613895729,0.29748791456222534,-3.6138756913070877,0.2,690,-0.006471866979815483
9012,415.60724,450.0,968,71,8724480,0.24654296875,-0.011679720133543015,0.023174735,0.0003,0.08845024721051838,0.3091932535171509,-3.6036785366137822,0.2,700,-0.006923492974492546
9142,420.33478,450.0,967,72,8847360,0.24619059244791666,0.08589989691972733,0.022725757,0.0003,0.0936801947937541,0.28546327352523804,-3.61447566639632,0.2,710,-0.006575834819135101
