time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss
959,1524.2849,21770,20889600,170,415.46666666666664,-2.636504369104902,-0.0059761546299705514,0.9031533002853394,0.2,0.10575110078488555,1690,0.27313151041666667,0.0003,0.031470027,0.04811172932386398
959,1515.4633,21898,21012480,171,422.4,-2.6278952541326484,-0.0062046305441435835,0.8958304077386856,0.2,0.11005907188708079,1700,0.27103271484375,0.0003,0.031430494,0.000836104154586792
959,1401.4777,22027,21135360,172,383.0,-2.630598620660603,-0.0065089978137499805,0.9008200913667679,0.2,0.09950668191806472,1710,0.27169921875,0.0003,0.03173277,0.011076577007770538
958,1466.241,22172,21258240,173,407.4,-2.623707932072381,-0.00594642443458118,0.8857304602861404,0.2,0.11166971264819343,1720,0.26848958333333334,0.0003,0.031895857,0.03195478767156601
958,1508.6586,22300,21381120,174,408.6666666666667,-2.604556807478269,-0.005695019520468729,0.8939961791038513,0.2,0.12209475011011818,1730,0.27166178385416667,0.0003,0.032282047,0.02782495878636837
957,1468.0724,22457,21504000,175,402.1333333333333,-2.6293845983843007,-0.005573661113736914,0.900810644030571,0.2,0.10998141317686531,1740,0.27024983723958335,0.0003,0.031205293,0.042552053928375244
957,1501.2748,22584,21626880,176,416.26666666666665,-2.584702598800262,-0.005726974736153352,0.8928064778447151,0.2,0.1193295157441753,1750,0.2678076171875,0.0003,0.031333845,0.04680590331554413
957,1474.1106,22711,21749760,177,401.46666666666664,-2.5853855279212197,-0.006022422216986645,0.9179794490337372,0.2,0.11793623633503254,1760,0.27154378255208333,0.0003,0.031408194,0.0347384437918663
957,1212.7269,22837,21872640,178,336.93333333333334,-2.579236351499955,-0.005810060812157947,0.9066915437579155,0.2,0.13200009573357724,1770,0.27331705729166667,0.0003,0.032564208,0.024102073162794113
957,1493.784,22964,21995520,179,404.26666666666665,-2.587835330553353,-0.0061902726165620455,0.8945003226399422,0.2,0.1163236956425438,1780,0.27425211588541665,0.0003,0.032157075,0.07214853167533875
957,1452.7815,23091,22118400,180,399.1333333333333,-2.5856240180755656,-0.00613798120171244,0.8738859295845032,0.2,0.1302559340511895,1790,0.27618326822916667,0.0003,0.032571744,-0.004050523042678833
957,1621.5199,23218,22241280,181,441.06666666666666,-2.5985571278631685,-0.006054428545409488,0.8968222811818123,0.2,0.14764506442389877,1800,0.27600260416666667,0.0003,0.03249593,0.24183189868927002
957,1448.8329,23344,22364160,182,392.73333333333335,-2.5858833578477305,-0.006207367535771482,0.8548409640789032,0.2,0.12426442916354669,1810,0.27636149088541667,0.0003,0.033552688,0.08148540556430817
958,1609.5171,23472,22487040,183,442.6,-2.5501936624074975,-0.006113013113984683,0.8973815739154816,0.2,0.12785831867033268,1820,0.2755843098958333,0.0003,0.03301349,0.018671885132789612
958,1537.4359,23599,22609920,184,425.06666666666666,-2.556694820250074,-0.006048824807166966,0.8604148775339127,0.2,0.13420246527850396,1830,0.2769873046875,0.0003,0.03279974,-5.582254379987717e-05
958,1507.838,23727,22732800,185,408.93333333333334,-2.5543368297442792,-0.0059998294588755625,0.8786957189440727,0.2,0.13541801910784368,1840,0.277431640625,0.0003,0.033160824,0.04485641419887543
958,1452.1428,23854,22855680,186,403.73333333333335,-2.537239212716619,-0.006114504494877717,0.8762933537364006,0.2,0.12185048344060002,1850,0.2734554036458333,0.0003,0.03227322,-0.004631012678146362
958,1439.2319,23983,22978560,187,393.3333333333333,-2.5478521842633683,-0.005426958409643703,0.8898158520460129,0.2,0.16437286999906064,1860,0.2768253580729167,0.0003,0.033057794,0.028845425695180893
958,1614.4099,24112,23101440,188,450.0,-2.554650306267043,-0.006148897746540267,0.8833721205592155,0.2,0.12736688173443933,1870,0.28014404296875,0.0003,0.033677503,0.033274393528699875
958,1330.9446,24238,23224320,189,361.06666666666666,-2.5471090120077133,-0.006093479007601369,0.88255225867033,0.2,0.11426469422673108,1880,0.2768196614583333,0.0003,0.032831136,-0.018233109265565872
958,1491.8787,24366,23347200,190,407.3333333333333,-2.517452637689809,-0.006598514693499358,0.891105517745018,0.2,0.11877847925260236,1890,0.27789469401041667,0.0003,0.03401343,-0.02915119379758835
958,1400.229,24494,23470080,191,382.06666666666666,-2.5017055076609056,-0.006066856361503597,0.8909163177013397,0.2,0.10606712587560954,1900,0.27623046875,0.0003,0.033537943,-0.003650898113846779
958,1410.1486,24624,23592960,192,383.46666666666664,-2.4941170040145515,-0.005176338453572195,0.9018640220165253,0.2,0.13340545443366864,1910,0.27080729166666667,0.0003,0.03245092,0.025586070492863655
958,1556.6152,24751,23715840,193,420.06666666666666,-2.5001373839130006,-0.005294757926518893,0.8851318433880806,0.2,0.1184996771646062,1920,0.27332763671875,0.0003,0.033304833,0.027480224147439003
958,1528.5089,24877,23838720,194,424.6,-2.468319116085768,-0.005418908317721313,0.9125045537948608,0.2,0.11625067098662839,1930,0.2719856770833333,0.0003,0.034288667,0.008676030673086643
958,1496.77,25004,23961600,195,411.6,-2.4634704511612653,-0.005569280900378241,0.8948138430714607,0.2,0.14348943519663104,1940,0.27597493489583336,0.0003,0.033968214,-0.0018012523651123047
958,1411.8495,25133,24084480,196,388.2,-2.455653110941251,-0.005348747101779736,0.9062038585543633,0.2,0.12277640980784782,1950,0.27532633463541667,0.0003,0.033284254,0.02880675345659256
958,1520.0161,25260,24207360,197,422.06666666666666,-2.4240542126260696,-0.005367274938865497,0.881015308201313,0.2,0.1551531277955898,1960,0.27739013671875,0.0003,0.034446727,0.3036898076534271
958,1309.7417,25387,24330240,198,359.26666666666665,-2.4477008637661735,-0.005093380981270457,0.875030443072319,0.2,0.12979461161366393,1970,0.27478271484375,0.0003,0.032922108,0.049896933138370514
958,1433.1683,25515,24453120,199,383.93333333333334,-2.4248049892050525,-0.0055936810629433845,0.9076428115367889,0.2,0.1521626645819439,1980,0.2808837890625,0.0003,0.034307476,0.12017004191875458
957,1271.1486,25672,24576000,200,355.46666666666664,-2.4328064182338616,-0.005613652760948753,0.8846308290958405,0.2,0.13806925400441591,1990,0.2784952799479167,0.0003,0.03393909,0.02196696773171425
956,1453.4235,25830,24698880,201,401.4,-2.412027988849829,-0.005830974367988044,0.8721961379051208,0.2,0.1280123284800114,2000,0.27907470703125,0.0003,0.034707665,0.014916077256202698
956,1556.311,25958,24821760,202,425.26666666666665,-2.4238430593411127,-0.005533173741714564,0.8961447030305862,0.2,0.11207576174696442,2010,0.26782307942708333,0.0003,0.03174813,0.013160573318600655
956,1437.1798,26086,24944640,203,389.6,-2.438187580431501,-0.005558976351518747,0.896285206079483,0.2,0.12148919457996575,2020,0.27401936848958336,0.0003,0.03360412,0.11080317199230194
956,1635.2445,26214,25067520,204,437.06666666666666,-2.4402382063058514,-0.00588006473253093,0.8499932587146759,0.2,0.11393688564955179,2030,0.27508382161458333,0.0003,0.03282901,0.04233856126666069
956,1628.2946,26343,25190400,205,433.53333333333336,-2.4210867487949628,-0.005494834130186064,0.8843185529112816,0.2,0.13481985861062035,2040,0.274697265625,0.0003,0.03355064,0.07014389336109161
956,1357.8104,26470,25313280,206,368.6,-2.4109939649142325,-0.005568454844287771,0.851276233792305,0.2,0.12449007162436222,2050,0.2772509765625,0.0003,0.03367795,0.03861381113529205
956,1650.3402,26597,25436160,207,450.0,-2.400901715196669,-0.0051539587635609984,0.8618489801883698,0.2,0.1304967132950454,2060,0.27805908203125,0.0003,0.033869617,0.052179958671331406
956,1561.8901,26725,25559040,208,425.1333333333333,-2.4109879370530445,-0.005818255925056898,0.8711907118558884,0.2,0.1075575785637678,2070,0.2744498697916667,0.0003,0.032900218,0.029446737840771675
956,1235.8005,26853,25681920,209,340.06666666666666,-2.404809819404036,-0.00555096638323145,0.8853269815444946,0.2,0.11525495844640925,2080,0.27154866536458333,0.0003,0.032730676,0.01063297875225544
956,1498.7048,26980,25804800,210,414.06666666666666,-2.3796650530584156,-0.005343428479142555,0.8955523297190666,0.2,0.12160786931252611,2090,0.27874430338541667,0.0003,0.035045467,0.0018120743334293365
956,1485.4233,27107,25927680,211,407.8,-2.4091725347998243,-0.005430491049058522,0.8795022740960121,0.2,0.13020774939019855,2100,0.2719449869791667,0.0003,0.032504406,-0.008420798927545547
