rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss
1483.0537,975,10936320,11210,89,428.6,0.7957903891801834,880,0.2,0.11831657823165491,0.027885647,-0.008123849126247175,0.27290934244791665,-3.363526484742761,0.0003,0.09361151605844498
1501.8486,975,11059200,11337,90,439.92,0.786240741610527,890,0.2,0.09613284890864937,0.027501453,-0.008656837083478119,0.26691650390625,-3.361593604423106,0.0003,0.02101711742579937
1473.2212,975,11182080,11464,91,429.64,0.7717444598674774,900,0.2,0.10049213916373749,0.028002301,-0.008730365625009047,0.27106282552083333,-3.3298028854032355,0.0003,-0.0011765304952859879
1517.6652,975,11304960,11590,92,436.68,0.7989398539066315,910,0.2,0.10672462615349408,0.028620277,-0.008564093843491112,0.27219807942708335,-3.320760649641355,0.0003,0.05513059347867966
1453.3923,975,11427840,11717,93,420.98,0.7715751677751541,920,0.2,0.09570739545005684,0.027529955,-0.008569599401271262,0.26973876953125,-3.329510621974866,0.0003,0.023570332676172256
1507.6125,975,11550720,11843,94,439.0,0.7829945832490921,930,0.2,0.10067266288902223,0.02851999,-0.009119077199047752,0.2742032877604167,-3.318725490582486,0.0003,0.07083748281002045
1485.4595,974,11673600,11982,95,431.96,0.7654340416193008,940,0.2,0.11300826911518622,0.02833478,-0.00806722004786934,0.27519775390625,-3.303203214320044,0.0003,0.001203395426273346
1564.9332,974,11796480,12108,96,450.0,0.7860849797725677,950,0.2,0.1075288990488237,0.028347353,-0.008607690461370415,0.2712939453125,-3.2940283028284707,0.0003,0.08375430107116699
1513.2249,974,11919360,12234,97,433.56,0.7888300716876984,960,0.2,0.11082301351974214,0.028328955,-0.008439465533989884,0.2731070963541667,-3.304104374249776,0.0003,0.006715670228004456
1553.3469,974,12042240,12361,98,445.8,0.8120623826980591,970,0.2,0.10320320739449623,0.02805301,-0.008139869393447347,0.2706827799479167,-3.2959427933519083,0.0003,0.011418741196393967
1539.571,974,12165120,12489,99,441.94,0.7691680788993835,980,0.2,0.0994385148542157,0.028160254,-0.00816154387805606,0.27114013671875,-3.3056950169429182,0.0003,0.023498572409152985
1512.641,973,12288000,12617,100,431.56,0.7806128114461899,990,0.2,0.1076180764848444,0.027785258,-0.00826139505431153,0.27078450520833336,-3.304066464304924,0.0003,0.022106757387518883
1539.8796,973,12410880,12744,101,443.34,0.7965574264526367,1000,0.2,0.10067755096024485,0.02854811,-0.009006107140794483,0.270791015625,-3.310004114645223,0.0003,0.049594696611166
1415.0007,973,12533760,12870,102,412.56,0.7703108489513397,1010,0.2,0.11971433431943296,0.028645562,-0.00838578081173182,0.27491861979166665,-3.309092659490804,0.0003,0.0608074814081192
1492.3126,973,12656640,12998,103,434.88,0.7840229123830795,1020,0.2,0.11729001334732554,0.027996203,-0.008107606102773085,0.26984049479166666,-3.277060182864467,0.0003,0.062420401722192764
1463.0298,973,12779520,13124,104,425.44,0.8005315363407135,1030,0.2,0.10717093358170435,0.027961647,-0.008538389845759109,0.2697013346354167,-3.2900921908269325,0.0003,0.07541991770267487
1536.4089,973,12902400,13251,105,441.82,0.802366778254509,1040,0.2,0.11286237489470902,0.028740017,-0.008075357552209728,0.27018880208333335,-3.268076125718653,0.0003,0.03538674861192703
1524.0275,973,13025280,13376,106,436.44,0.7826043963432312,1050,0.2,0.10461868517464609,0.027962478,-0.00822309527326676,0.265517578125,-3.2795147849371036,0.0003,0.08770978450775146
1540.0989,973,13148160,13503,107,441.4,0.7684724181890488,1060,0.2,0.1147063153879329,0.028646452,-0.009005527935911839,0.2732796223958333,-3.2712399884064993,0.0003,0.0014460869133472443
1536.4402,973,13271040,13629,108,438.96,0.7778320461511612,1070,0.2,0.10186738256064322,0.027919678,-0.008458019819487768,0.2664314778645833,-3.2714933983857435,0.0003,0.029756765812635422
1471.5999,973,13393920,13755,109,426.8,0.8104885369539261,1080,0.2,0.10101198865677967,0.029136952,-0.00905264966009175,0.27356363932291666,-3.263762891155978,0.0003,0.06904241442680359
1523.8048,973,13516800,13883,110,442.98,0.8064893782138824,1090,0.2,0.10492222943600306,0.02836163,-0.0075956981781928334,0.27062662760416667,-3.224674185278515,0.0003,0.05355780944228172
1511.0604,973,13639680,14010,111,438.58,0.7506308108568192,1100,0.2,0.11659877459906663,0.028459787,-0.007943527136012563,0.2702864583333333,-3.2496452167630197,0.0003,0.004355361685156822
1503.3068,973,13762560,14139,112,432.5,0.777665764093399,1110,0.2,0.09749944377336457,0.028046029,-0.008240949843578467,0.267470703125,-3.2293562900150814,0.0003,0.006255751475691795
1515.5514,971,13885440,14296,113,433.66,0.7712181657552719,1120,0.2,0.10854477373621194,0.029776279,-0.008339684491274965,0.27270345052083333,-3.240737490952015,0.0003,0.05461902543902397
1466.131,971,14008320,14424,114,418.94,0.7626568377017975,1130,0.2,0.11849147210513668,0.029328529,-0.007795616218500072,0.27218424479166664,-3.233409016740819,0.0003,0.04338588938117027
1486.6724,971,14131200,14551,115,429.46,0.7709172368049622,1140,0.2,0.11773714224322854,0.028498378,-0.00830806287028281,0.2710367838541667,-3.2407113472372293,0.0003,0.016962770372629166
1473.0863,969,14254080,14708,116,425.1,0.7961142808198929,1150,0.2,0.10798634449243158,0.029043214,-0.0077775619530681675,0.2714461263020833,-3.182864425542454,0.0003,-0.00317409448325634
1491.4531,969,14376960,14835,117,432.3,0.7694876343011856,1160,0.2,0.11026873050044135,0.029214974,-0.008326568241421532,0.271875,-3.1811181977018714,0.0003,0.09232010692358017
1415.2141,969,14499840,14962,118,416.34,0.7668253183364868,1170,0.2,0.11857523523183772,0.029952945,-0.007880277515444808,0.27554931640625,-3.1539260221024352,0.0003,0.031851328909397125
1425.1206,969,14622720,15090,119,414.56,0.7775763720273972,1180,0.2,0.11958433571164884,0.030445999,-0.007747396826010421,0.2784676106770833,-3.1328335411225754,0.0003,0.04013749212026596
1513.4224,967,14745600,15243,120,436.02,0.769868329167366,1190,0.2,0.12737987647065893,0.029716088,-0.00796725872504491,0.2768212890625,-3.1414716093117994,0.0003,0.0701231136918068
1450.4742,967,14868480,15370,121,422.8,0.7576393783092499,1200,0.2,0.10948601766159603,0.02939849,-0.007992192912849229,0.27339518229166665,-3.1453758653998376,0.0003,0.08936826139688492
1423.0643,967,14991360,15498,122,415.78,0.7712308168411255,1210,0.2,0.13393406429939206,0.030353596,-0.008076132395238649,0.2781803385416667,-3.1180404505630333,0.0003,0.009443189948797226
1472.7947,967,15114240,15626,123,429.74,0.7927916944026947,1220,0.2,0.12869479799866287,0.02952236,-0.007371075554680526,0.27482421875,-3.11865028064698,0.0003,0.0007572732865810394
1512.5319,967,15237120,15755,124,438.72,0.7760702818632126,1230,0.2,0.11438664647881523,0.030250045,-0.008097513415395951,0.2757039388020833,-3.1048522801945606,0.0003,0.045152440667152405
1483.635,967,15360000,15883,125,424.0,0.7514023333787918,1240,0.2,0.11436169869179139,0.029167322,-0.007965307830090751,0.2759122721354167,-3.1236017913122973,0.0003,0.003345062956213951
1520.3505,967,15482880,16010,126,435.52,0.8056100457906723,1250,0.2,0.1181679977447493,0.029202938,-0.007894851195239123,0.27463704427083335,-3.0966527696326374,0.0003,0.062030307948589325
1523.0509,967,15605760,16137,127,440.54,0.7760694772005081,1260,0.2,0.11015028163092211,0.029630098,-0.007633164447582506,0.2743896484375,-3.095696989397208,0.0003,0.15308699011802673
1439.843,965,15728640,16289,128,418.42,0.7832442373037338,1270,0.2,0.10693909739367276,0.029281728,-0.0075419344442161675,0.27366048177083335,-3.1198509335145355,0.0003,0.035902731120586395
1488.9436,964,15851520,16430,129,429.08,0.8080810159444809,1280,0.2,0.1148398529929303,0.030544307,-0.0076602159285418265,0.27953125,-3.0707746890808143,0.0003,0.012009639292955399
1530.7972,964,15974400,16560,130,443.46,0.7987120002508163,1290,0.2,0.11533109013257975,0.03024179,-0.007446686404940313,0.27622884114583335,-3.1059896526361506,0.0003,0.09140284359455109
1478.1891,964,16097280,16687,131,427.52,0.7773387283086777,1300,0.2,0.11849177183583379,0.029807508,-0.00795404066545719,0.278017578125,-3.1038547718773284,0.0003,0.02318393811583519
1478.4814,964,16220160,16814,132,423.88,0.7400029599666595,1310,0.2,0.12047558532862847,0.030205218,-0.007831538663485843,0.27893391927083333,-3.108589735267063,0.0003,0.03523695096373558
1483.1814,964,16343040,16943,133,426.24,0.7810493856668472,1320,0.2,0.12427502885218322,0.029642452,-0.007417831470781191,0.2772298177083333,-3.097861118565003,0.0003,0.15752945840358734
1452.2948,964,16465920,17071,134,414.94,0.7245532274246216,1330,0.2,0.11901250013625637,0.029425198,-0.006878152266635879,0.27466145833333333,-3.078372782878578,0.0003,0.006380217149853706
1496.9922,964,16588800,17201,135,429.36,0.8112604916095734,1340,0.2,0.1291322995108203,0.030385403,-0.007552611425762734,0.27855550130208334,-3.0889475617061057,0.0003,0.02620522864162922
1522.7277,964,16711680,17328,136,438.64,0.8094759583473206,1350,0.2,0.10434651387787501,0.02993424,-0.007663023167588108,0.2754182942708333,-3.089496364456912,0.0003,0.06616032868623734
1547.5597,964,16834560,17457,137,439.14,0.8049249202013016,1360,0.2,0.10358130050677573,0.030404808,-0.007483961632145413,0.27708333333333335,-3.083737451955676,0.0003,0.001126810908317566
1508.7957,962,16957440,17615,138,432.36,0.805365651845932,1370,0.2,0.11348393306082774,0.030155659,-0.007298457084022327,0.27533121744791667,-3.0618005511909723,0.0003,0.03806693106889725
1481.2512,962,17080320,17744,139,423.28,0.7840363681316376,1380,0.2,0.10577561969490488,0.029952886,-0.007602165609096118,0.2743212890625,-3.0722186938797433,0.0003,0.031849779188632965
1550.5476,962,17203200,17873,140,442.62,0.8042760342359543,1390,0.2,0.11102240191530048,0.03014888,-0.00783463536143851,0.2726847330729167,-3.087355266660452,0.0003,0.0024480093270540237
1500.3717,962,17326080,18001,141,427.5,0.7781572192907333,1400,0.2,0.11385997184833589,0.030395938,-0.007796086241887679,0.27467203776041665,-3.071432539001107,0.0003,0.05725885182619095
1487.1377,962,17448960,18130,142,424.7,0.782762736082077,1410,0.2,0.1052916228940012,0.030119224,-0.007783822945517992,0.27692301432291666,-3.0927864227195583,0.0003,0.044972531497478485
1524.7762,962,17571840,18260,143,434.52,0.7783594280481339,1420,0.2,0.1298806822077798,0.03033127,-0.007386063485018895,0.2754288736979167,-3.0692216812198363,0.0003,0.009760543704032898
