time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction
80,265,13107200,450.0,49428,579.53,1.8858145267586223e-10,0.0,0.7614526003599167,0.1074504718942444,0.026755668222904205,0.2,0.0003,790,-2.488320851008932e-17,0.0
81,265,13271040,450.0,50063,557.73126,-2.0309073534008348e-10,0.0,0.7233071029186249,0.11550210360528582,0.027010194957256317,0.2,0.0003,800,-3.040015984989497e-17,0.0
82,265,13434880,450.0,50693,582.76733,1.289714646190987e-10,0.0,0.791230782866478,0.09648474891744627,0.06332188099622726,0.2,0.0003,810,-2.4628446667705703e-17,0.0
83,264,13598720,450.0,51330,566.965,3.19948867399944e-11,0.0,0.7347647547721863,0.1189664204611836,0.061438724398612976,0.2,0.0003,820,-2.802236948472387e-17,0.0
84,264,13762560,450.0,51964,573.6273,4.855792212765664e-11,0.0,0.7686996757984161,0.0990051525016861,0.04303434491157532,0.2,0.0003,830,-2.2482162895384225e-17,0.0
85,264,13926400,450.0,52601,571.22314,3.3855940273497255e-12,0.0,0.7580276280641556,0.11377708986941798,0.011967848986387253,0.2,0.0003,840,-2.6802294441021697e-17,0.0
86,264,14090240,450.0,53241,559.02716,-9.614950613467954e-11,0.0,0.7828648090362549,0.09673530307414695,0.05221374332904816,0.2,0.0003,850,-1.921896188742193e-17,0.0
87,264,14254080,450.0,53876,559.9018,-1.5850787349336316e-11,0.0,0.7483398616313934,0.11524810895956762,0.007711507845669985,0.2,0.0003,860,-2.8058765348374677e-17,0.0
88,264,14417920,450.0,54502,559.5331,-9.222048902302049e-11,0.0,0.7871311753988266,0.09553237432228343,0.00709706824272871,0.2,0.0003,870,-2.7627145823076164e-17,0.0
89,264,14581760,450.0,55128,567.2293,5.0212065616506154e-11,0.0,0.7472583949565887,0.1180010253304681,0.037472594529390335,0.2,0.0003,880,-2.9086734511232615e-17,0.0
90,264,14745600,450.0,55762,582.3894,1.971557139768265e-11,0.0,0.7191219925880432,0.11882547550832896,0.03067507967352867,0.2,0.0003,890,-3.0800817768562084e-17,0.0
91,264,14909440,450.0,56387,565.2865,-4.8281094677804504e-11,0.0,0.7819817364215851,0.09320460845878188,0.03044663369655609,0.2,0.0003,900,-2.5312820099385568e-17,0.0
92,264,15073280,450.0,57020,547.49005,-7.374183041974902e-11,0.0,0.7374042272567749,0.11678353737896031,0.05172967538237572,0.2,0.0003,910,-3.2578011597404893e-17,0.0
93,264,15237120,450.0,57650,572.36884,-5.993001650494989e-11,0.0,0.8065370321273804,0.08567974968985254,0.02143215388059616,0.2,0.0003,920,-2.210242473083393e-17,0.0
94,264,15400960,450.0,58274,565.8767,1.4204374565451872e-10,0.0,0.7972511798143387,0.1070389166017594,0.025007566437125206,0.2,0.0003,930,-3.8893908245556325e-17,0.0
95,264,15564800,450.0,58908,565.8628,1.1965880730713252e-10,0.0,0.7690062075853348,0.09623970481314245,0.07526420056819916,0.2,0.0003,940,-2.5744426566760722e-17,0.0
96,264,15728640,450.0,59544,576.683,-3.523609848343767e-11,0.0,0.7353768050670624,0.12500673189364533,0.021743185818195343,0.2,0.0003,950,-3.1840412001888976e-17,0.0
97,264,15892480,450.0,60179,564.36505,3.613649823819287e-11,0.0,0.7873239815235138,0.09747972754355942,0.07539433240890503,0.2,0.0003,960,-2.2811786741599325e-17,0.0
98,263,16056320,450.0,60821,565.85266,-8.186475497495849e-11,0.0,0.751447856426239,0.11561784703440935,0.011031631380319595,0.2,0.0003,970,-3.161228831027901e-17,0.0
99,263,16220160,450.0,61447,571.6274,-1.0692815521906595e-10,0.0,0.7305627763271332,0.11791334532568726,0.015734665095806122,0.2,0.0003,980,-3.203314191375387e-17,0.0
100,263,16384000,450.0,62081,571.1824,-1.0743406164692714e-13,0.0,0.7781385332345963,0.10420708623731116,0.06715723872184753,0.2,0.0003,990,-3.0704517190106876e-17,0.0
101,263,16547840,450.0,62715,556.45374,5.3449866754817774e-11,0.0,0.7375397086143494,0.12559940156634183,0.10467232763767242,0.2,0.0003,1000,-3.1098905056218785e-17,0.0
102,263,16711680,450.0,63353,573.447,2.5636381906224416e-12,0.0,0.7713272124528885,0.0992809646106889,0.0445391982793808,0.2,0.0003,1010,-2.3017625046014486e-17,0.0
103,263,16875520,450.0,63991,577.70294,1.2818077266274486e-10,0.0,0.7389939725399017,0.11636287741219348,0.015980947762727737,0.2,0.0003,1020,-2.6460916010834153e-17,0.0
104,263,17039360,450.0,64623,574.2638,9.87569137578248e-11,0.0,0.7676113992929459,0.09645119101716773,0.008382496424019337,0.2,0.0003,1030,-2.138286878873683e-17,0.0
105,263,17203200,450.0,65262,572.781,1.3862745618098417e-10,0.0,0.6929957866668701,0.1268800809766981,0.061571501195430756,0.2,0.0003,1040,-2.1811103017896086e-17,0.0
106,263,17367040,450.0,65894,569.0568,-7.103608368197456e-11,0.0,0.7295017540454865,0.11560708588924172,0.022884462028741837,0.2,0.0003,1050,-2.5099477418074067e-17,0.0
107,263,17530880,450.0,66535,566.02924,-4.0608938434161245e-11,0.0,0.7367518544197083,0.12717274276161333,0.04527021944522858,0.2,0.0003,1060,-2.2478561985210793e-17,0.0
108,263,17694720,450.0,67167,572.1513,-3.0308910936582834e-12,0.0,0.7836811393499374,0.10507226091764096,0.027822168543934822,0.2,0.0003,1070,-2.7715872577197504e-17,0.0
109,263,17858560,450.0,67803,582.4941,-1.4098304745857604e-11,0.0,0.7492331564426422,0.11490476515346018,0.03227178752422333,0.2,0.0003,1080,-2.6113169453077976e-17,0.0
110,263,18022400,450.0,68434,564.67053,1.1489191820146516e-10,0.0,0.7113457918167114,0.12086864547756704,0.08362199366092682,0.2,0.0003,1090,-3.075750630239607e-17,0.0
111,263,18186240,450.0,69070,566.84625,1.056719156622421e-10,0.0,0.7832223773002625,0.0922468839737121,0.028751233592629433,0.2,0.0003,1100,-2.5413766587913366e-17,0.0
112,263,18350080,450.0,69714,584.9013,-2.6782913664646913e-11,0.0,0.775203213095665,0.1099737005631323,0.025152750313282013,0.2,0.0003,1110,-2.829826230199732e-17,0.0
113,263,18513920,450.0,70343,565.0975,9.792756827664562e-11,0.0,0.7882018238306046,0.09236279389138873,0.01729702576994896,0.2,0.0003,1120,-2.86364393465788e-17,0.0
114,263,18677760,450.0,70978,584.0373,-3.8355665310518816e-11,0.0,0.757864385843277,0.1064378505247987,0.11008038371801376,0.2,0.0003,1130,-3.02643099010944e-17,0.0
115,263,18841600,450.0,71613,577.2889,1.1438714864198118e-10,0.0,0.7889222502708435,0.08618671689882831,0.059942957013845444,0.2,0.0003,1140,-2.597509348735657e-17,0.0
116,263,19005440,450.0,72240,578.9751,5.2256154958740805e-11,0.0,0.7459360659122467,0.11257382367297396,0.036208488047122955,0.2,0.0003,1150,-3.6142369653887887e-17,0.0
117,263,19169280,450.0,72879,580.69775,-1.3461090020427945e-10,0.0,0.7983898669481277,0.09139659128930361,0.07019886374473572,0.2,0.0003,1160,-1.9677104443454564e-17,0.0
118,262,19333120,450.0,73518,569.82324,3.0679530027555303e-11,0.0,0.7799528241157532,0.10355518540018238,0.08168238401412964,0.2,0.0003,1170,-1.9237396470591403e-17,0.0
119,262,19496960,450.0,74155,560.2676,1.172389829662279e-10,0.0,0.7241792976856232,0.11887811739514291,0.09939613193273544,0.2,0.0003,1180,-2.405014868335039e-17,0.0
120,262,19660800,450.0,74787,559.0171,2.0497168407018763e-10,0.0,0.7593333870172501,0.09783746314893506,0.013729794882237911,0.2,0.0003,1190,-2.4704222049594668e-17,0.0
